Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02001332,E02001332,107,0,0,0,13,5,0,39,5,5,40,0,Liverpool,Liverpool
E02001332,E02001334,26,0,0,0,9,0,0,10,1,0,6,0,Liverpool,Liverpool
E02001332,E02001336,22,0,0,1,3,0,0,9,2,1,6,0,Liverpool,Liverpool
E02001332,E02001337,18,0,0,0,2,1,1,10,3,0,1,0,Liverpool,Liverpool
E02001332,E02001338,19,0,0,0,4,2,0,8,2,2,1,0,Liverpool,Liverpool
E02001332,E02001341,71,0,0,1,24,3,0,30,11,0,2,0,Liverpool,Liverpool
E02001332,E02001342,58,0,0,0,19,5,0,22,3,5,4,0,Liverpool,Liverpool
E02001332,E02001343,28,0,0,0,3,1,0,16,5,0,3,0,Liverpool,Liverpool
E02001332,E02001346,20,0,0,0,0,1,0,12,7,0,0,0,Liverpool,Liverpool
E02001332,E02001347,15,0,0,1,1,0,0,11,1,0,1,0,Liverpool,Liverpool
E02001332,E02001350,26,0,0,0,4,1,0,17,1,2,1,0,Liverpool,Liverpool
E02001332,E02001354,14,0,0,0,7,0,0,7,0,0,0,0,Liverpool,Liverpool
E02001332,E02001359,12,0,0,0,1,0,0,6,1,1,3,0,Liverpool,Liverpool
E02001332,E02001360,17,0,0,0,4,0,0,9,4,0,0,0,Liverpool,Liverpool
E02001332,E02001363,13,0,0,0,1,0,0,7,0,1,4,0,Liverpool,Liverpool
E02001332,E02001366,18,0,0,0,6,0,0,12,0,0,0,0,Liverpool,Liverpool
E02001332,E02001367,29,0,0,0,7,2,0,15,4,0,1,0,Liverpool,Liverpool
E02001332,E02001368,18,0,0,0,6,0,0,11,1,0,0,0,Liverpool,Liverpool
E02001332,E02001370,14,0,0,0,3,0,0,10,0,1,0,0,Liverpool,Liverpool
E02001332,E02001371,13,0,0,0,4,1,0,5,1,0,2,0,Liverpool,Liverpool
E02001332,E02001372,68,0,0,0,16,0,0,40,6,3,3,0,Liverpool,Liverpool
E02001332,E02001373,35,0,0,0,6,0,0,28,1,0,0,0,Liverpool,Liverpool
E02001332,E02001374,21,0,0,0,6,0,0,14,1,0,0,0,Liverpool,Liverpool
E02001332,E02001375,13,0,0,0,5,0,0,7,0,1,0,0,Liverpool,Liverpool
E02001332,E02001377,36,0,0,1,14,0,0,18,2,0,1,0,Liverpool,Liverpool
E02001332,E02001393,11,0,0,0,2,0,0,8,1,0,0,0,Liverpool,Liverpool
E02001332,E02001396,12,0,0,0,0,0,1,10,1,0,0,0,Liverpool,Liverpool
E02001332,E02001401,29,0,0,0,11,1,0,12,2,0,3,0,Liverpool,Liverpool
E02001332,E02001405,11,0,0,0,0,0,0,10,1,0,0,0,Liverpool,Liverpool
E02001332,E02006932,109,0,0,4,60,1,0,32,6,1,3,2,Liverpool,Liverpool
E02001332,E02006933,53,0,2,8,32,1,0,8,0,1,0,1,Liverpool,Liverpool
E02001332,E02006934,91,0,0,8,43,1,1,29,8,0,1,0,Liverpool,Liverpool
E02001334,E02001332,29,0,0,0,4,0,0,6,4,1,14,0,Liverpool,Liverpool
E02001334,E02001334,65,0,0,0,15,0,0,15,3,0,31,1,Liverpool,Liverpool
E02001334,E02001336,19,0,0,0,4,1,0,7,2,0,5,0,Liverpool,Liverpool
E02001334,E02001337,11,0,0,0,2,0,0,5,4,0,0,0,Liverpool,Liverpool
E02001334,E02001338,29,0,0,0,5,0,0,6,2,0,16,0,Liverpool,Liverpool
E02001334,E02001340,17,0,0,0,4,0,0,6,3,0,4,0,Liverpool,Liverpool
E02001334,E02001341,105,0,0,0,28,2,0,44,16,2,13,0,Liverpool,Liverpool
E02001334,E02001342,68,0,0,0,26,3,0,15,6,3,15,0,Liverpool,Liverpool
E02001334,E02001343,50,0,0,0,13,1,0,20,6,2,8,0,Liverpool,Liverpool
E02001334,E02001347,13,0,0,0,3,0,0,8,2,0,0,0,Liverpool,Liverpool
E02001334,E02001350,22,0,0,0,6,0,0,10,3,3,0,0,Liverpool,Liverpool
E02001334,E02001363,16,0,0,0,3,1,0,3,2,0,7,0,Liverpool,Liverpool
E02001334,E02001371,20,0,0,0,5,2,0,7,0,0,6,0,Liverpool,Liverpool
E02001334,E02001372,72,0,0,0,23,4,0,27,6,2,9,1,Liverpool,Liverpool
E02001334,E02001373,13,0,0,0,9,0,0,3,1,0,0,0,Liverpool,Liverpool
E02001334,E02001374,22,0,0,1,2,0,0,14,2,1,2,0,Liverpool,Liverpool
E02001334,E02001375,12,0,0,0,8,0,0,2,1,0,1,0,Liverpool,Liverpool
E02001334,E02001377,32,0,0,1,16,1,0,11,1,0,1,1,Liverpool,Liverpool
E02001334,E02001394,11,0,0,0,5,0,0,6,0,0,0,0,Liverpool,Liverpool
E02001334,E02001401,16,0,0,0,5,2,0,4,2,0,3,0,Liverpool,Liverpool
E02001334,E02006932,74,0,0,7,41,0,0,20,3,0,3,0,Liverpool,Liverpool
E02001334,E02006933,35,0,0,2,24,0,0,9,0,0,0,0,Liverpool,Liverpool
E02001334,E02006934,41,0,0,4,18,0,1,13,2,1,2,0,Liverpool,Liverpool
E02001336,E02001332,21,0,0,0,2,1,0,4,2,0,12,0,Liverpool,Liverpool
E02001336,E02001334,15,0,0,0,2,1,0,5,0,1,6,0,Liverpool,Liverpool
E02001336,E02001336,80,0,0,1,10,4,0,29,8,0,26,2,Liverpool,Liverpool
E02001336,E02001337,26,0,0,0,3,0,0,8,1,0,14,0,Liverpool,Liverpool
E02001336,E02001338,26,0,0,0,6,3,0,5,2,0,9,1,Liverpool,Liverpool
E02001336,E02001341,113,0,0,1,13,10,2,34,13,4,36,0,Liverpool,Liverpool
E02001336,E02001342,86,0,0,0,10,2,0,31,7,2,34,0,Liverpool,Liverpool
E02001336,E02001343,35,0,0,0,7,1,0,18,6,0,3,0,Liverpool,Liverpool
