Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02001332,E02001332,107,0,0,0,13,5,0,39,5,5,40,0,0,NaN
E02001332,E02001334,26,0,0,0,9,0,0,10,1,0,6,0,1623.1376828280336,0.010987801467888234
E02001332,E02001336,22,0,0,1,3,0,0,9,2,1,6,0,1144.9100191189773,0.015557778418816903
E02001332,E02001337,18,0,0,0,2,1,1,10,3,0,1,0,2673.904989124242,0.009605023793041954
E02001332,E02001338,19,0,0,0,4,2,0,8,2,2,1,0,1749.2487553471094,0.01110371395348434
E02001332,E02001341,71,0,0,1,24,3,0,30,11,0,2,0,4906.7168215512,0.013457850906160205
E02001332,E02001342,58,0,0,0,19,5,0,22,3,5,4,0,3823.175146868187,0.016055322766056583
E02001332,E02001343,28,0,0,0,3,1,0,16,5,0,3,0,5374.837125010253,0.012557790234767828
E02001332,E02001346,20,0,0,0,0,1,0,12,7,0,0,0,10069.880415937614,0.012277400625462759
E02001332,E02001347,15,0,0,1,1,0,0,11,1,0,1,0,8135.156368761303,0.010760079633259468
E02001332,E02001350,26,0,0,0,4,1,0,17,1,2,1,0,4833.575791885015,0.011096240555266939
E02001332,E02001354,14,0,0,0,7,0,0,7,0,0,0,0,7877.591432044038,0.011053422063872036
E02001332,E02001359,12,0,0,0,1,0,0,6,1,1,3,0,3329.2703817908105,0.012155232210718564
E02001332,E02001360,17,0,0,0,4,0,0,9,4,0,0,0,10447.181931503717,0.010857483109558664
E02001332,E02001363,13,0,0,0,1,0,0,7,0,1,4,0,2762.8340754832498,0.01466238177988139
E02001332,E02001366,18,0,0,0,6,0,0,12,0,0,0,0,7006.483670860079,0.013249220768948758
E02001332,E02001367,29,0,0,0,7,2,0,15,4,0,1,0,4616.634562507121,0.013028230876527425
E02001332,E02001368,18,0,0,0,6,0,0,11,1,0,0,0,11993.87968695976,0.017870695555971764
E02001332,E02001370,14,0,0,0,3,0,0,10,0,1,0,0,8891.602801029174,0.014333702261129648
E02001332,E02001371,13,0,0,0,4,1,0,5,1,0,2,0,2028.482138103394,0.008353408360201578
E02001332,E02001372,68,0,0,0,16,0,0,40,6,3,3,0,4141.646523042059,0.007446456296577015
E02001332,E02001373,35,0,0,0,6,0,0,28,1,0,0,0,6243.026833314063,0.012573594279232294
E02001332,E02001374,21,0,0,0,6,0,0,14,1,0,0,0,8088.933535286553,0.012972184753807008
E02001332,E02001375,13,0,0,0,5,0,0,7,0,1,0,0,5946.534269554658,0.013297920744375033
E02001332,E02001377,36,0,0,1,14,0,0,18,2,0,1,0,9572.836176628514,0.013100648184702558
E02001332,E02001393,11,0,0,0,2,0,0,8,1,0,0,0,7337.049382111328,0.014312485236761964
E02001332,E02001396,12,0,0,0,0,0,1,10,1,0,0,0,10781.442677114039,0.01355782709783659
E02001332,E02001401,29,0,0,0,11,1,0,12,2,0,3,0,9645.324642585276,0.01305356076109555
E02001332,E02001405,11,0,0,0,0,0,0,10,1,0,0,0,12938.409103097756,0.012439795828307334
E02001332,E02006932,109,0,0,4,60,1,0,32,6,1,3,2,11017.222989802154,0.014576495849946924
E02001332,E02006933,53,0,2,8,32,1,0,8,0,1,0,1,11682.2187375092,0.015258718680130666
E02001332,E02006934,91,0,0,8,43,1,1,29,8,0,1,0,12167.17231926361,0.015714864050854642
E02001334,E02001332,29,0,0,0,4,0,0,6,4,1,14,0,1623.1376828280336,0.010697618701637204
E02001334,E02001334,65,0,0,0,15,0,0,15,3,0,31,1,0,0.012956845712943076
E02001334,E02001336,19,0,0,0,4,1,0,7,2,0,5,0,1576.0334848824589,0.013186102100716404
E02001334,E02001337,11,0,0,0,2,0,0,5,4,0,0,0,2509.0796448663905,0.01110708311167891
E02001334,E02001338,29,0,0,0,5,0,0,6,2,0,16,0,126.11107251907603,0.009705057696895203
E02001334,E02001340,17,0,0,0,4,0,0,6,3,0,4,0,2313.898983726155,0.015024270570838924
E02001334,E02001341,105,0,0,0,28,2,0,44,16,2,13,0,4424.63520426145,0.013092029906280084
E02001334,E02001342,68,0,0,0,26,3,0,15,6,3,15,0,2919.5308865728502,0.010391819244234775
E02001334,E02001343,50,0,0,0,13,1,0,20,6,2,8,0,4892.755507720501,0.011529915919526592
E02001334,E02001347,13,0,0,0,3,0,0,8,2,0,0,0,8091.804219613613,0.010286259835837667
E02001334,E02001350,22,0,0,0,6,0,0,10,3,3,0,0,4422.305139995077,0.011542165951438367
E02001334,E02001363,16,0,0,0,3,1,0,3,2,0,7,0,1606.3758462502942,0.012350129347180858
E02001334,E02001371,20,0,0,0,5,2,0,7,0,0,6,0,822.6559368732725,0.012831758835730388
E02001334,E02001372,72,0,0,0,23,4,0,27,6,2,9,1,2869.991349912906,0.011393094464006331
E02001334,E02001373,13,0,0,0,9,0,0,3,1,0,0,0,5308.72567862076,0.012250801295682035
E02001334,E02001374,22,0,0,1,2,0,0,14,2,1,2,0,7160.982502980143,0.012016115198375582
E02001334,E02001375,12,0,0,0,8,0,0,2,1,0,1,0,4876.07832042916,0.015354888650684654
E02001334,E02001377,32,0,0,1,16,1,0,11,1,0,1,1,8301.181003499367,0.014673263516431006
E02001334,E02001394,11,0,0,0,5,0,0,6,0,0,0,0,8463.398628501403,0.018565582359780553
E02001334,E02001401,16,0,0,0,5,2,0,4,2,0,3,0,7885.789247436138,0.014374311296807956
E02001334,E02006932,74,0,0,7,41,0,0,20,3,0,3,0,9745.567816673003,0.012941277959660534
E02001334,E02006933,35,0,0,2,24,0,0,9,0,0,0,0,10410.563564380049,0.013483471599553777
E02001334,E02006934,41,0,0,4,18,0,1,13,2,1,2,0,11077.486827062456,0.01542530119654057
E02001336,E02001332,21,0,0,0,2,1,0,4,2,0,12,0,1144.9100191189773,0.012801333817784423
E02001336,E02001334,15,0,0,0,2,1,0,5,0,1,6,0,1626.6567244931089,0.017869751308410762
E02001336,E02001336,80,0,0,1,10,4,0,29,8,0,26,2,0,0.013405710764149977
E02001336,E02001337,26,0,0,0,3,0,0,8,1,0,14,0,1562.5032354137873,0.010736187718674066
E02001336,E02001338,26,0,0,0,6,3,0,5,2,0,9,1,1693.258497282269,0.009359250801343
E02001336,E02001341,113,0,0,1,13,10,2,34,13,4,36,0,3795.315067840744,0.010058748390790264
E02001336,E02001342,86,0,0,0,10,2,0,31,7,2,34,0,2711.773393157733,0.0107252339196838
E02001336,E02001343,35,0,0,0,7,1,0,18,6,0,3,0,4263.435371299796,0.010985501614567501
E02001336,E02001346,27,0,0,0,3,0,1,16,4,3,0,0,8958.478662227159,0.012775778275037453
E02001336,E02001350,19,0,0,0,10,0,0,7,1,0,1,0,5655.7602081323885,0.013038477671825874
E02001336,E02001360,13,0,0,0,0,0,1,12,0,0,0,0,10786.118867609988,0.011980374167516206
E02001336,E02001367,12,0,0,0,6,0,0,4,2,0,0,0,4955.571498613389,0.011149708020294132
E02001336,E02001368,13,0,0,0,6,0,0,7,0,0,0,0,12332.816623066032,0.012983736681009623
E02001336,E02001372,42,0,1,0,19,1,0,17,2,0,2,0,4437.138774676099,0.013247695804386674
E02001336,E02001373,24,0,0,1,3,0,0,16,4,0,0,0,6581.963769420332,0.01255040541590473
E02001336,E02001374,20,0,0,1,6,0,0,12,1,0,0,0,8427.870471392818,0.012048232859409997
E02001336,E02001377,32,0,0,0,7,0,0,23,1,0,1,0,9868.328428262555,0.015534092218631142
