Area of residence,Area of workplace,potential_demand
E02001332,E02001332,57
E02001332,E02001334,15
E02001332,E02001336,14
E02001332,E02001337,9
E02001332,E02001338,10
E02001332,E02001341,28
E02001332,E02001342,29
E02001332,E02001343,12
E02001332,E02001346,3
E02001332,E02001347,4
E02001332,E02001350,12
E02001332,E02001354,3
E02001332,E02001359,7
E02001332,E02001360,3
E02001332,E02001363,9
E02001332,E02001366,5
E02001332,E02001367,12
E02001332,E02001368,2
E02001332,E02001370,4
E02001332,E02001371,7
E02001332,E02001372,31
E02001332,E02001373,11
E02001332,E02001374,5
E02001332,E02001375,5
E02001332,E02001377,7
E02001332,E02001393,3
E02001332,E02001396,2
E02001332,E02001401,8
E02001332,E02001405,1
E02001332,E02006932,19
E02001332,E02006933,7
E02001332,E02006934,11
E02001334,E02001332,21
E02001334,E02001334,37
E02001334,E02001336,11
E02001334,E02001337,5
E02001334,E02001338,20
E02001334,E02001340,10
E02001334,E02001341,51
E02001334,E02001342,40
E02001334,E02001343,25
E02001334,E02001347,3
E02001334,E02001350,11
E02001334,E02001363,11
E02001334,E02001371,12
E02001334,E02001372,38
E02001334,E02001373,5
E02001334,E02001374,8
E02001334,E02001375,5
E02001334,E02001377,8
E02001334,E02001394,2
E02001334,E02001401,6
E02001334,E02006932,16
E02001334,E02006933,6
E02001334,E02006934,8
E02001336,E02001332,16
E02001336,E02001334,11
E02001336,E02001336,36
E02001336,E02001337,19
E02001336,E02001338,17
E02001336,E02001341,71
E02001336,E02001342,58
E02001336,E02001343,16
E02001336,E02001346,8
E02001336,E02001350,7
E02001336,E02001360,2
E02001336,E02001367,4
E02001336,E02001368,1
E02001336,E02001372,18
E02001336,E02001373,7
E02001336,E02001374,5
E02001336,E02001377,6
E02001336,E02001383,3
E02001336,E02001401,29
E02001336,E02006932,9
E02001336,E02006933,7
E02001336,E02006934,9
E02001337,E02001332,8
E02001337,E02001334,10
E02001337,E02001336,16
E02001337,E02001337,37
E02001337,E02001338,8
E02001337,E02001340,7
E02001337,E02001341,114
E02001337,E02001342,71
E02001337,E02001343,26
E02001337,E02001346,6
E02001337,E02001347,2
E02001337,E02001350,4
E02001337,E02001354,5
E02001337,E02001368,2
E02001337,E02001372,21
E02001337,E02001373,7
E02001337,E02001374,5
E02001337,E02001377,8
E02001337,E02001383,2
E02001337,E02001393,4
E02001337,E02001401,18
E02001337,E02006932,10
E02001337,E02006933,8
E02001337,E02006934,11
E02001338,E02001332,6
E02001338,E02001334,25
E02001338,E02001336,10
