Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,non_active,cycle_added_unweighted,cycling_increase,potential_demand,cycle_fraction
E02001332,E02001332,107,0,0,0,13,5,0,39,5,5,40,0,0,0.013016679259457866,0.04672897196261682,0.01928642139547668,62,1.1957581265195543,6.6368403222756935,12,0.11214953271028037
E02001332,E02001334,26,0,0,0,9,0,0,10,1,0,6,0,1623.1376828280336,0.010987801467888234,0,0.026614850170207396,20,0.5322970034041479,2.9544187384298732,3,0.11538461538461539
E02001332,E02001336,22,0,0,1,3,0,0,9,2,1,6,0,1144.9100191189773,0.015557778418816903,0.045454545454545456,0.026574468299783008,15,0.39861702449674513,2.2124520692373424,3,0.13636363636363635
E02001332,E02001337,18,0,0,0,2,1,1,10,3,0,1,0,2673.904989124242,0.009605023793041954,0,0.026410850796345888,17,0.4489844635378801,2.4920074767602207,2,0.1111111111111111
E02001332,E02001338,19,0,0,0,4,2,0,8,2,2,1,0,1749.2487553471094,0.01110371395348434,0.10526315789473684,0.026680273052793017,16,0.4268843688446883,2.369344877750497,4,0.21052631578947367
E02001332,E02001341,71,0,0,1,24,3,0,30,11,0,2,0,4906.7168215512,0.013457850906160205,0,0.02436917493692464,69,1.6814730706478,9.332713722446568,9,0.1267605633802817
E02001332,E02001342,58,0,0,0,19,5,0,22,3,5,4,0,3823.175146868187,0.016055322766056583,0.08620689655172414,0.025986916401855773,49,1.273358903690933,7.067549472854496,12,0.20689655172413793
E02001332,E02001343,28,0,0,0,3,1,0,16,5,0,3,0,5374.837125010253,0.012557790234767828,0,0.023619911548874294,25,0.5904977887218573,3.2774517249661925,3,0.10714285714285714
E02001332,E02001346,20,0,0,0,0,1,0,12,7,0,0,0,10069.880415937614,0.012277400625462759,0,0.01632936250194367,20,0.3265872500388734,1.8126637668004038,2,0.1
E02001332,E02001347,15,0,0,1,1,0,0,11,1,0,1,0,8135.156368761303,0.010760079633259468,0,0.019190467932972306,14,0.2686665510616123,1.4911853490993532,1,0.06666666666666667
E02001332,E02001350,26,0,0,0,4,1,0,17,1,2,1,0,4833.575791885015,0.011096240555266939,0.07692307692307693,0.02427581397909337,23,0.5583437215191475,3.098986360605888,5,0.19230769230769232
E02001332,E02001354,14,0,0,0,7,0,0,7,0,0,0,0,7877.591432044038,0.011053422063872036,0,0.01961450220944126,14,0.27460303093217764,1.5241347124392657,2,0.14285714285714285
E02001332,E02001359,12,0,0,0,1,0,0,6,1,1,3,0,3329.2703817908105,0.012155232210718564,0.08333333333333333,0.026151811782475314,8,0.2092144942598025,1.161207405338313,2,0.16666666666666666
E02001332,E02001360,17,0,0,0,4,0,0,9,4,0,0,0,10447.181931503717,0.010857483109558664,0,0.01570211911256736,17,0.2669360249136451,1.4815803750976202,1,0.058823529411764705
E02001332,E02001363,13,0,0,0,1,0,0,7,0,1,4,0,2762.8340754832498,0.01466238177988139,0.07692307692307693,0.026816448136237875,8,0.214531585089903,1.190718961259013,2,0.15384615384615385
E02001332,E02001366,18,0,0,0,6,0,0,12,0,0,0,0,7006.483670860079,0.013249220768948758,0,0.021147445903720693,18,0.3806540262669725,2.11275167973857,2,0.1111111111111111
E02001332,E02001367,29,0,0,0,7,2,0,15,4,0,1,0,4616.634562507121,0.013028230876527425,0,0.024733142373160696,28,0.6925279864484994,3.8437519786244447,4,0.13793103448275862
E02001332,E02001368,18,0,0,0,6,0,0,11,1,0,0,0,11993.87968695976,0.017870695555971764,0,0.01390435666382011,18,0.250278419948762,1.389125336029426,1,0.05555555555555555
E02001332,E02001370,14,0,0,0,3,0,0,10,0,1,0,0,8891.602801029174,0.014333702261129648,0.07142857142857142,0.01823745910764395,13,0.23708696839937135,1.3159085578109337,2,0.14285714285714285
E02001332,E02001371,13,0,0,0,4,1,0,5,1,0,2,0,2028.482138103394,0.008353408360201578,0,0.026480955527294913,11,0.29129051080024404,1.6167555667820321,2,0.15384615384615385
E02001332,E02001372,68,0,0,0,16,0,0,40,6,3,3,0,4141.646523042059,0.007446456296577015,0.04411764705882353,0.02486964829119026,62,1.541918194053796,8.558139490745416,12,0.17647058823529413
E02001332,E02001373,35,0,0,0,6,0,0,28,1,0,0,0,6243.026833314063,0.012573594279232294,0,0.022300314755581276,35,0.7805110164453447,4.332085955378318,4,0.11428571428571428
E02001332,E02001374,21,0,0,0,6,0,0,14,1,0,0,0,8088.933535286553,0.012972184753807008,0,0.01940916754602695,21,0.40759251846656597,2.2622689335095796,2,0.09523809523809523
E02001332,E02001375,13,0,0,0,5,0,0,7,0,1,0,0,5946.534269554658,0.013297920744375033,0.07692307692307693,0.022815198400372248,12,0.273782380804467,1.519579841569248,3,0.23076923076923078
E02001332,E02001377,36,0,0,1,14,0,0,18,2,0,1,0,9572.836176628514,0.013100648184702558,0,0.017118079399533397,35,0.5991327789836689,3.325378684675725,3,0.08333333333333333
E02001332,E02001393,11,0,0,0,2,0,0,8,1,0,0,0,7337.049382111328,0.014312485236761964,0,0.020696643793272202,11,0.22766308172599423,1.2636029705192358,1,0.09090909090909091
E02001332,E02001396,12,0,0,0,0,0,1,10,1,0,0,0,10781.442677114039,0.01355782709783659,0,0.015367434059257357,12,0.1844092087110883,1.023530131244055,1,0.08333333333333333
E02001332,E02001401,29,0,0,0,11,1,0,12,2,0,3,0,9645.324642585276,0.01305356076109555,0,0.017006021825733384,26,0.442156567469068,2.4541104682090866,2,0.06896551724137931
E02001332,E02001405,11,0,0,0,0,0,0,10,1,0,0,0,12938.409103097756,0.012439795828307334,0,0.012440696217283406,11,0.13684765839011748,0.7595483041843152,1,0.09090909090909091
E02001332,E02006932,109,0,0,4,60,1,0,32,6,1,3,2,11017.222989802154,0.014576495849946924,0.009174311926605505,0.015086223924838674,105,1.5840535121080608,8.792003991978962,10,0.09174311926605505
E02001332,E02006933,53,0,2,8,32,1,0,8,0,1,0,1,11682.2187375092,0.015258718680130666,0.018867924528301886,0.014199276585354735,52,0.7383623824384462,4.098147546345686,5,0.09433962264150944
E02001332,E02006934,91,0,0,8,43,1,1,29,8,0,1,0,12167.17231926361,0.015714864050854642,0,0.013571888810465492,90,1.2214699929418944,6.779549410383206,7,0.07692307692307693
E02001334,E02001332,29,0,0,0,4,0,0,6,4,1,14,0,1623.1376828280336,0.010697618701637204,0.034482758620689655,0.02658865088699378,14,0.3722411124179129,2.066057315198655,3,0.10344827586206896
E02001334,E02001334,65,0,0,0,15,0,0,15,3,0,31,1,0,0.012956845712943076,0,0.019282475804316964,34,0.6556041773467768,3.638813020098106,4,0.06153846153846154
E02001334,E02001336,19,0,0,0,4,1,0,7,2,0,5,0,1576.0334848824589,0.013186102100716404,0,0.02678751415695973,14,0.3750251981974362,2.0815098823628824,2,0.10526315789473684
E02001334,E02001337,11,0,0,0,2,0,0,5,4,0,0,0,2509.0796448663905,0.01110708311167891,0,0.02662567585074104,11,0.2928824343581515,1.6255912520471223,2,0.18181818181818182
E02001334,E02001338,29,0,0,0,5,0,0,6,2,0,16,0,126.11107251907603,0.009705057696895203,0,0.022049781573980305,13,0.286647160461744,1.590983486230334,2,0.06896551724137931
E02001334,E02001340,17,0,0,0,4,0,0,6,3,0,4,0,2313.898983726155,0.015024270570838924,0,0.02705005004512353,13,0.3516506505866059,1.95177366175274,2,0.11764705882352941
E02001334,E02001341,105,0,0,0,28,2,0,44,16,2,13,0,4424.63520426145,0.013092029906280084,0.01904761904761905,0.0249931098087003,90,2.249379882783027,12.484778296780435,14,0.13333333333333333
E02001334,E02001342,68,0,0,0,26,3,0,15,6,3,15,0,2919.5308865728502,0.010391819244234775,0.04411764705882353,0.026328454337577748,50,1.3164227168788873,7.306567419258633,10,0.14705882352941177
E02001334,E02001343,50,0,0,0,13,1,0,20,6,2,8,0,4892.755507720501,0.011529915919526592,0.04,0.02422936957213572,40,0.9691747828854289,5.379230243752492,7,0.14
E02001334,E02001347,13,0,0,0,3,0,0,8,2,0,0,0,8091.804219613613,0.010286259835837667,0,0.019227233436050782,13,0.24995403466866017,1.3873248939005494,1,0.07692307692307693
E02001334,E02001350,22,0,0,0,6,0,0,10,3,3,0,0,4422.305139995077,0.011542165951438367,0.13636363636363635,0.02486478226655117,19,0.4724308630644722,2.6221424985001107,6,0.2727272727272727
E02001334,E02001363,16,0,0,0,3,1,0,3,2,0,7,0,1606.3758462502942,0.012350129347180858,0,0.02672912129889826,9,0.24056209169008433,1.3351966043390509,1,0.0625
E02001334,E02001371,20,0,0,0,5,2,0,7,0,0,6,0,822.6559368732725,0.012831758835730388,0,0.025722462557499794,14,0.3601144758049971,1.9987506006873834,2,0.1
E02001334,E02001372,72,0,0,0,23,4,0,27,6,2,9,1,2869.991349912906,0.011393094464006331,0.027777777777777776,0.026452144012206358,61,1.6135807847445878,8.95588980575246,11,0.1527777777777778
E02001334,E02001373,13,0,0,0,9,0,0,3,1,0,0,0,5308.72567862076,0.012250801295682035,0,0.023692411726076515,13,0.3080013524389947,1.7095060864293767,2,0.15384615384615385
E02001334,E02001374,22,0,0,1,2,0,0,14,2,1,2,0,7160.982502980143,0.012016115198375582,0.045454545454545456,0.020814002595714556,19,0.39546604931857654,2.194963148482249,3,0.13636363636363635
E02001334,E02001375,12,0,0,0,8,0,0,2,1,0,1,0,4876.07832042916,0.015354888650684654,0,0.024570237783906667,11,0.27027261562297333,1.5000995214596482,2,0.16666666666666666
E02001334,E02001377,32,0,0,1,16,1,0,11,1,0,1,1,8301.181003499367,0.014673263516431006,0,0.019185859509838074,31,0.5947616448049803,3.3011174909377927,3,0.09375
E02001334,E02001394,11,0,0,0,5,0,0,6,0,0,0,0,8463.398628501403,0.018565582359780553,0,0.019183378360011258,11,0.21101716196012382,1.1712127880455832,1,0.09090909090909091
E02001334,E02001401,16,0,0,0,5,2,0,4,2,0,3,0,7885.789247436138,0.014374311296807956,0,0.019825355628439557,13,0.25772962316971426,1.4304818987736208,1,0.0625
E02001334,E02006932,74,0,0,7,41,0,0,20,3,0,3,0,9745.567816673003,0.012941277959660534,0,0.01684895168312504,71,1.1962755695018779,6.639712296442877,7,0.0945945945945946
E02001334,E02006933,35,0,0,2,24,0,0,9,0,0,0,0,10410.563564380049,0.013483471599553777,0,0.015897448630933148,35,0.5564107020826602,3.0882574840418937,3,0.08571428571428572
E02001334,E02006934,41,0,0,4,18,0,1,13,2,1,2,0,11077.486827062456,0.01542530119654057,0.024390243902439025,0.015045105710094889,38,0.5717140169836058,3.173195779794649,4,0.0975609756097561
E02001336,E02001332,21,0,0,0,2,1,0,4,2,0,12,0,1144.9100191189773,0.012801333817784423,0,0.02632697769331512,9,0.23694279923983608,1.3151083728320392,1,0.047619047619047616
E02001336,E02001334,15,0,0,0,2,1,0,5,0,1,6,0,1626.6567244931089,0.017869751308410762,0.06666666666666667,0.027245483037907383,8,0.21796386430325906,1.209769209444918,2,0.13333333333333333
E02001336,E02001336,80,0,0,1,10,4,0,29,8,0,26,2,0,0.013405710764149977,0,0.019312094528750552,54,1.0428531045525298,5.788168510842595,6,0.075
E02001336,E02001337,26,0,0,0,3,0,0,8,1,0,14,0,1562.5032354137873,0.010736187718674066,0,0.026557503862038714,12,0.3186900463444646,1.7688317586794704,2,0.07692307692307693
E02001336,E02001338,26,0,0,0,6,3,0,5,2,0,9,1,1693.258497282269,0.009359250801343,0,0.026501257073103014,17,0.45052137024275124,2.500537800882001,3,0.11538461538461539
E02001336,E02001341,113,0,0,1,13,10,2,34,13,4,36,0,3795.315067840744,0.010058748390790264,0.035398230088495575,0.025493807225307374,73,1.8610479274474383,10.329411653276171,14,0.12389380530973451
E02001336,E02001342,86,0,0,0,10,2,0,31,7,2,34,0,2711.773393157733,0.0107252339196838,0.023255813953488372,0.026490421187081118,50,1.324521059354056,7.351515811990228,9,0.10465116279069768
E02001336,E02001343,35,0,0,0,7,1,0,18,6,0,3,0,4263.435371299796,0.010985501614567501,0,0.02502011076901118,32,0.8006435446083577,4.4438279303967505,4,0.11428571428571428
E02001336,E02001346,27,0,0,0,3,0,1,16,4,3,0,0,8958.478662227159,0.012775778275037453,0.1111111111111111,0.01803709145082239,24,0.4328901948197374,2.4026791341655422,5,0.18518518518518517
E02001336,E02001350,19,0,0,0,10,0,0,7,1,0,1,0,5655.7602081323885,0.013038477671825874,0,0.02323855267730914,18,0.4182939481915645,2.3216652936343447,2,0.10526315789473684
E02001336,E02001360,13,0,0,0,0,0,1,12,0,0,0,0,10786.118867609988,0.011980374167516206,0,0.015277801592779172,13,0.19861142070612922,1.1023569534447517,1,0.07692307692307693
E02001336,E02001367,12,0,0,0,6,0,0,4,2,0,0,0,4955.571498613389,0.011149708020294132,0,0.02411011884687482,12,0.28932142616249784,1.6058265168078492,2,0.16666666666666666
E02001336,E02001368,13,0,0,0,6,0,0,7,0,0,0,0,12332.816623066032,0.012983736681009623,0,0.013229844005520469,13,0.17198797207176608,0.954588292295128,1,0.07692307692307693
E02001336,E02001372,42,0,1,0,19,1,0,17,2,0,2,0,4437.138774676099,0.013247695804386674,0,0.024990015383061927,40,0.999600615322477,5.548103352016249,6,0.14285714285714285
E02001336,E02001373,24,0,0,1,3,0,0,16,4,0,0,0,6581.963769420332,0.01255040541590473,0,0.021767865056100278,24,0.5224287613464067,2.8996468365324355,3,0.125
E02001336,E02001374,20,0,0,1,6,0,0,12,1,0,0,0,8427.870471392818,0.012048232859409997,0,0.018815985185803488,20,0.37631970371606976,2.088694802316956,2,0.1
E02001336,E02001377,32,0,0,0,7,0,0,23,1,0,1,0,9868.328428262555,0.015534092218631142,0,0.01681431970510548,31,0.5212439108582698,2.8930705370943346,3,0.09375
E02001336,E02001383,21,0,0,2,3,0,1,13,1,0,0,1,11119.050641230056,0.010061550969372458,0,0.014712960952589981,21,0.3089721800043896,1.7148944901450545,2,0.09523809523809523
E02001336,E02001401,48,0,0,0,9,3,0,11,2,4,19,0,8533.922888874822,0.013016679259457866,0.08333333333333333,0.018712270168116624,25,0.4678067542029156,2.5964772143039685,7,0.14583333333333334
E02001336,E02006932,51,0,0,9,22,2,0,14,1,1,2,0,11312.715241436195,0.011888784340875619,0.0196078431372549,0.01453787201702538,48,0.6978178568172182,3.8731124522721645,5,0.09803921568627451
E02001336,E02006933,47,0,2,5,26,2,0,9,1,0,2,0,11977.710989143241,0.00902108194341067,0,0.013508662068898591,45,0.6078897931004366,3.3739829158358057,3,0.06382978723404255
E02001336,E02006934,78,0,1,5,37,1,0,29,4,0,1,0,12506.10925536988,0.012676380758287708,0,0.012993610114566609,77,1.000507978821629,5.553139509851664,6,0.07692307692307693
E02001337,E02001332,15,0,0,0,3,1,0,6,2,0,3,0,2706.314737318895,0.010712370154819285,0,0.026492358833613457,12,0.3179083060033615,1.7644928495787782,2,0.13333333333333333
E02001337,E02001334,20,0,0,0,3,0,0,15,1,0,1,0,2559.70288447704,0.01033999952795401,0,0.026534114399076353,19,0.5041481735824507,2.7981837234697124,3,0.15
E02001337,E02001336,30,0,0,0,3,0,0,21,2,0,4,0,1562.5032354137875,0.010005349802472254,0,0.02649170599625671,26,0.6887843559026745,3.822973630890734,4,0.13333333333333333
E02001337,E02001337,97,0,0,1,14,6,0,45,7,0,23,1,0,0.01200840415474203,0,0.019220038505309896,74,1.4222828493929323,7.894125036814304,8,0.08247422680412371
E02001337,E02001338,16,0,0,1,3,1,0,8,2,0,1,0,2626.3046572662,0.009110537871224697,0,0.026391465922515844,15,0.39587198883773767,2.197216242740547,2,0.125
E02001337,E02001340,13,0,0,0,3,0,0,7,0,0,3,0,3922.434574024225,0.011633331459668076,0,0.02548664264913148,10,0.2548664264913148,1.4145902408000157,1,0.07692307692307693
E02001337,E02001341,173,0,0,0,15,4,0,75,12,3,64,0,2798.0086963081562,0.009249317805487068,0.017341040462427744,0.026306767677411663,106,2.7885173738056364,15.47716393089211,18,0.10404624277456648
E02001337,E02001342,118,0,0,0,17,8,0,51,10,5,27,0,1860.2381197814666,0.007376688597400043,0.0423728813559322,0.026375224944385052,86,2.2682693452171145,12.589620859141741,18,0.15254237288135594
E02001337,E02001343,46,0,0,0,2,3,0,21,9,7,4,0,3101.6345298328138,0.009520153068491383,0.15217391304347827,0.026114104550439606,35,0.9139936592653862,5.072957346125658,12,0.2608695652173913
E02001337,E02001346,23,0,0,0,0,0,0,17,5,0,1,0,8318.722613344968,0.008539024296607054,0,0.01876030808195057,22,0.41272677780291256,2.290765716122019,2,0.08695652173913043
E02001337,E02001347,11,0,0,0,1,1,0,9,0,0,0,0,10596.29472944899,0.011442546068563557,0,0.015519629121306716,11,0.17071592033437388,0.9475279980136094,1,0.09090909090909091
E02001337,E02001350,14,0,0,0,1,0,0,12,1,0,0,0,6926.795649830448,0.009522838075844885,0,0.021005146925111268,14,0.29407205695155775,1.6321940381968512,2,0.14285714285714285
E02001337,E02001354,17,0,0,0,6,0,0,7,2,1,1,0,9487.56380984837,0.017327586276763007,0.058823529411764705,0.017498686783200577,15,0.2624803017480086,1.4568496854081694,2,0.11764705882352941
E02001337,E02001368,17,0,0,2,7,0,0,7,1,0,0,0,13221.327568644894,0.012879017852098676,0,0.012113133540151408,17,0.20592327018257395,1.1429400583047005,1,0.058823529411764705
E02001337,E02001372,53,0,0,0,8,0,0,39,5,0,1,0,4666.753476472428,0.007666033158826373,0,0.024219526085284,52,1.259415356434768,6.9901583227440405,7,0.1320754716981132
E02001337,E02001373,22,0,0,0,5,0,0,14,2,0,1,0,7396.461477354984,0.007803035223509945,0,0.020148738359321423,21,0.4231235055457499,2.348470882721409,2,0.09090909090909091
E02001337,E02001374,19,0,0,3,6,0,0,8,1,1,0,0,9158.881527747231,0.010073602217408847,0.05263157894736842,0.017565414454947633,18,0.3161774601890574,1.7548861013265615,3,0.15789473684210525
E02001337,E02001377,41,0,0,1,11,0,1,24,3,0,1,0,10012.35373504617,0.011065200969583383,0,0.016346106513178395,40,0.6538442605271357,3.629044918461664,4,0.0975609756097561
E02001337,E02001383,13,0,0,1,5,0,0,7,0,0,0,0,11263.075948013671,0.010654342491812144,0,0.014544381215524376,13,0.18907695580181688,1.0494376215791634,1,0.07692307692307693
E02001337,E02001393,13,0,0,0,1,0,0,11,1,0,0,0,7093.671060313889,0.014145944161652818,0,0.02107326725118866,13,0.27395247426545255,1.5205239147186485,2,0.15384615384615385
E02001337,E02001401,35,0,0,0,2,1,0,19,1,0,12,0,7894.166839992631,0.01553877058133008,0,0.01989101945840039,23,0.457493447543209,2.5392350614161066,3,0.08571428571428572
E02001337,E02006932,70,0,0,22,18,0,0,26,3,0,1,0,11456.740548219812,0.014520913439182673,0,0.014471087162419747,69,0.9985050142069625,5.542022415161786,6,0.08571428571428572
E02001337,E02006933,57,0,1,15,14,0,0,20,5,0,2,0,12121.736295926858,0.01293795286984281,0,0.013502301155345764,55,0.742626563544017,4.121815116295901,4,0.07017543859649122
E02001337,E02006934,86,0,0,15,31,0,0,32,6,1,1,0,12788.659558609264,0.012266950783373422,0.011627906976744186,0.012619162703093609,84,1.060009667059863,5.883392923970136,7,0.08139534883720931
E02001338,E02001332,11,0,0,0,1,0,0,7,2,1,0,0,1932.5780678646115,0.015668972886013637,0.09090909090909091,0.02713997825126977,10,0.2713997825126977,1.5063556584640698,3,0.2727272727272727
E02001338,E02001334,37,0,0,0,3,0,0,14,2,0,18,0,309.4403850365779,0.01637002471774735,0,0.024042458585317006,19,0.4568067131210231,2.535423465573456,3,0.08108108108108109
