Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02001041,E02001041,138,0,8,1,9,1,0,44,4,1,70,0,0,NaN
E02001041,E02001042,134,0,8,0,5,1,0,48,11,1,59,1,1655.1681724718137,0.020010040715795256
E02001041,E02001043,30,0,0,0,0,0,0,16,4,1,9,0,2638.514048449959,0.020109948295042215
E02001041,E02001044,72,0,7,1,6,1,0,37,2,1,16,1,1743.3629747364373,0.014296905210077374
E02001041,E02001045,18,0,4,0,2,2,0,9,0,0,1,0,3402.5240649117663,0.03118144540201297
E02001041,E02001048,12,0,1,0,0,0,0,7,0,0,4,0,2940.5132826423123,0.02529936869993476
E02001041,E02001050,46,0,5,0,6,0,0,32,3,0,0,0,5570.078508648794,0.02484272014083673
E02001041,E02001052,36,0,4,0,9,1,0,18,1,3,0,0,4397.951346131036,0.013525455703545852
E02001041,E02001055,18,0,0,0,1,1,1,15,0,0,0,0,8941.227523920328,0.018592621204218476
E02001041,E02001057,11,0,3,0,2,0,0,6,0,0,0,0,8031.802122483058,0.01806126194666352
E02001041,E02001059,16,0,0,0,1,0,1,13,1,0,0,0,10152.774671952677,0.01723117897691676
E02001041,E02001062,47,0,10,0,6,2,0,17,6,6,0,0,9495.78274917482,0.017870233052835926
E02001041,E02001063,27,0,6,0,7,0,0,13,1,0,0,0,10611.51844060117,0.022288017498831116
E02001041,E02001066,27,0,4,1,4,0,0,16,2,0,0,0,11122.93009307693,0.015923718435557937
E02001041,E02001259,21,0,5,0,0,0,0,15,1,0,0,0,10688.275193844644,0.021223053590552713
E02001041,E02006902,244,0,89,1,44,0,1,77,19,8,5,0,6992.825410571333,0.01572548178638066
E02001041,E02006912,138,0,49,2,22,1,3,51,2,8,0,0,8431.293305206547,0.018234931858991443
E02001041,E02006913,45,0,7,0,8,0,0,23,5,0,2,0,5151.440119673592,0.011858848086560153
E02001041,E02006914,33,0,14,0,6,0,0,11,1,1,0,0,9078.182039907791,0.018047018604844287
E02001041,E02006915,35,0,0,0,3,0,0,29,1,2,0,0,4890.723707366327,0.01368501561120903
E02001041,E02006917,81,0,35,0,11,0,1,30,3,1,0,0,9002.232585390026,0.023841141726555968
E02001042,E02001041,47,0,0,0,3,4,0,18,2,0,20,0,1655.1681724718137,0.02784792376020369
E02001042,E02001042,135,0,8,1,7,1,0,55,4,2,57,0,0,0.022338437453655623
E02001042,E02001043,30,0,0,0,1,0,0,17,3,0,9,0,983.3458759781449,0.021284313037457973
E02001042,E02001044,41,0,1,0,3,0,0,21,3,2,11,0,1259.8879843655927,0.019208134823445265
E02001042,E02001045,16,0,0,0,1,0,0,13,0,1,1,0,4223.980033243669,0.01627043806290111
E02001042,E02001050,36,0,3,0,1,0,0,28,3,1,0,0,4988.5999066425475,0.02018392000369831
E02001042,E02001052,58,0,3,0,5,1,0,43,4,1,1,0,3891.7411046994257,0.021745349271660785
E02001042,E02001059,20,0,0,0,1,0,0,18,1,0,0,0,9646.564430521064,0.017181009894172095
E02001042,E02001062,26,0,2,0,6,1,1,16,0,0,0,0,9275.851586447296,0.016096483345788348
E02001042,E02001063,15,0,5,0,0,0,0,9,0,1,0,0,8956.35026812936,0.020651867669150836
E02001042,E02001066,24,0,1,0,5,0,0,14,1,3,0,0,10740.766079826157,0.02164023724160033
E02001042,E02001259,22,0,2,0,1,0,0,17,1,1,0,0,9033.107021372824,0.01958946840780948
E02001042,E02006902,172,0,45,0,37,0,1,72,10,4,3,0,6883.837911042566,0.014702727152981857
E02001042,E02006912,102,0,30,1,15,2,0,44,6,2,2,0,8244.697653498522,0.016151898006931457
E02001042,E02006913,56,0,6,2,10,0,0,31,5,0,2,0,4645.229878241979,0.01609978123345892
E02001042,E02006914,29,0,13,0,6,0,0,8,0,1,1,0,8233.942424430596,0.013965612503760714
E02001042,E02006915,31,0,2,0,0,1,0,27,0,0,1,0,4787.340046298393,0.01563870120778027
E02001042,E02006917,72,0,17,0,9,0,1,37,2,4,1,1,7347.064412918215,0.019941649032375598
E02001043,E02001041,31,0,0,0,2,0,0,13,3,2,11,0,2638.5140484499584,0.017384608634053465
E02001043,E02001042,106,0,3,0,13,1,0,41,13,1,34,0,983.345875978145,0.018248130497327826
E02001043,E02001043,94,0,1,1,6,0,1,36,1,1,47,0,0,0.016020055231354923
E02001043,E02001044,31,0,1,0,1,2,0,20,2,0,5,0,2257.276899181066,0.01479835665595234
E02001043,E02001050,31,0,0,0,2,0,0,28,0,0,1,0,5889.800198471897,0.01518188725917581
E02001043,E02001052,30,0,2,0,2,0,0,22,2,2,0,0,4370.52441046868,0.014958690105861334
E02001043,E02001062,32,0,3,0,4,0,1,19,2,2,0,1,8748.841191843872,0.019260681547675136
E02001043,E02001066,21,0,1,0,7,0,0,12,0,1,0,0,10213.755685222735,0.018495282061795675
E02001043,E02001259,15,0,1,0,0,0,0,12,1,1,0,0,8506.096626769393,0.01587681120102833
E02001043,E02006902,142,0,20,0,39,1,0,65,6,10,1,0,6819.235452396041,0.015388107845352042
E02001043,E02006912,87,0,12,0,20,0,1,42,5,4,2,1,7717.6872588951,0.017575643588826843
E02001043,E02006913,45,0,1,0,4,0,1,35,3,0,1,0,5249.653346014599,0.015386298384770165
E02001043,E02006914,42,0,9,0,5,0,0,18,5,4,1,0,7706.932029827172,0.020288902595300317
E02001043,E02006915,23,0,0,0,4,1,0,15,2,0,1,0,4724.513621206991,0.013417153237978407
E02001043,E02006917,58,0,9,0,13,0,0,31,2,3,0,0,6820.054018314791,0.02311185232652641
E02001044,E02001041,72,0,2,0,3,2,0,38,3,0,24,0,1743.3629747364378,0.015027317418483423
E02001044,E02001042,96,0,2,0,0,2,0,53,4,1,33,1,1259.8879843655927,0.014475742262916055
E02001044,E02001043,20,0,0,0,0,2,0,12,2,0,4,0,2257.276899181066,0.014423012357940109
E02001044,E02001044,232,0,5,0,6,2,3,110,11,2,93,0,0,0.018486042984767807
E02001044,E02001045,25,0,0,0,2,2,0,16,3,0,2,0,3285.0423459320004,0.01552074508306744
E02001044,E02001048,32,0,3,0,1,1,0,18,0,0,9,0,1911.0203735185812,0.020010040715795256
E02001044,E02001050,52,0,0,0,3,0,0,37,2,2,8,0,3952.817311551673,NaN
E02001044,E02001052,112,0,0,0,8,0,0,71,7,0,26,0,2369.963908875995,0.025392692448172088
E02001044,E02001055,14,0,0,0,1,0,0,12,1,0,0,0,7401.51267173523,0.022986624338525417
E02001044,E02001059,14,0,0,0,2,1,0,10,0,0,1,0,8124.787234697635,0.022474636759476547
E02001044,E02001062,36,0,8,1,3,0,3,17,4,0,0,0,7983.873895476814,0.02059633053095327
E02001044,E02001063,16,0,0,0,5,0,0,10,1,0,0,0,7968.343930380406,0.023394024491816292
E02001044,E02001066,25,0,2,1,5,0,0,16,0,1,0,0,9611.021239378922,0.0159818544461196
E02001044,E02001259,14,0,0,1,0,0,0,12,1,0,0,0,8605.903768263199,0.017880685762445003
E02001044,E02006902,170,0,49,1,37,0,4,65,10,1,3,0,5131.169088628574,0.01957630811329881
E02001044,E02006912,98,0,35,0,19,0,1,33,6,2,2,0,6919.384451508537,0.01840917785916559
E02001044,E02006913,46,0,0,0,9,0,0,30,3,2,2,0,3289.783797730835,0.024413386609612463
E02001044,E02006914,34,0,9,0,6,0,0,16,1,1,0,1,7545.440408767656,0.02272050818906845
E02001044,E02006915,59,0,0,0,5,0,0,49,3,0,2,0,3029.067385423572,0.0212598803522352
E02001044,E02006917,72,0,20,1,12,1,2,27,5,2,2,0,6359.058075169257,0.02144407269859888
E02001045,E02001045,236,0,3,1,20,2,1,78,17,0,113,1,0,0.025645408595194687
E02001045,E02001046,71,0,3,0,11,2,0,35,4,0,15,1,1786.390641822357,0.025826366754845106
E02001045,E02001047,24,0,0,0,2,2,0,14,3,0,3,0,3798.6771185343714,0.013734275076305416
E02001045,E02001048,43,0,1,0,9,1,0,14,2,0,16,0,1755.513652120513,0.024225656350497705
E02001045,E02001050,150,0,0,0,40,1,0,74,14,6,14,1,2773.8397075232456,0.025256982524110523
E02001045,E02001051,23,0,0,0,5,0,0,13,4,0,1,0,3656.57655738445,0.02472742504973284
E02001045,E02001052,57,0,0,0,19,3,0,26,2,2,4,1,3237.122670231654,0.023714924957437645
E02001045,E02001053,32,0,0,0,11,1,0,14,5,0,1,0,3858.2757397953183,0.020329413810970913
E02001045,E02001055,47,0,0,0,3,0,1,29,8,5,1,0,5955.302227236993,0.021754996066371903
E02001045,E02001057,16,0,0,3,2,0,0,9,2,0,0,0,6944.797572375437,0.021385892760592135
E02001045,E02001059,44,0,0,0,4,2,0,28,3,3,4,0,7882.627475511976,0.019310630490218528
E02001045,E02001062,56,0,1,0,10,0,3,35,3,1,3,0,8916.396525235183,0.018436678284778293
E02001045,E02001063,18,0,0,1,4,0,0,11,2,0,0,0,9318.963417521227,0.020408349895400274
E02001045,E02001064,26,0,0,0,8,1,0,13,1,1,2,0,10931.952632429227,0.018123345031414936
E02001045,E02001066,33,0,2,0,13,0,0,16,2,0,0,0,10543.543869137293,0.021203068452802714
E02001045,E02001259,15,0,1,0,2,0,1,10,1,0,0,0,10210.9413771585,0.020760298458419663
E02001045,E02006902,218,0,17,2,98,0,1,79,16,2,3,0,6413.439186631697,0.02192283433643135
E02001045,E02006912,108,0,4,1,35,0,1,56,5,1,3,2,7851.90708126691,0.019524069246317215
E02001045,E02006913,57,0,0,0,17,2,0,34,2,1,1,0,4430.219069795918,0.016124228685308637
E02001045,E02006914,25,0,2,0,10,1,0,10,0,0,2,0,8498.79581596816,0.01922967755643818
E02001045,E02006915,25,0,0,0,4,0,0,13,4,2,2,0,4311.337483426692,0.01690246518019423
E02001045,E02006917,58,0,3,1,22,0,0,24,4,2,2,0,7952.569625490312,0.017359448197669235
E02001046,E02001042,12,0,0,1,4,0,1,5,1,0,0,0,4928.593146471151,0.019161691869586807
E02001046,E02001045,107,0,1,0,2,5,2,37,3,1,55,1,1786.3906418223578,0.019929440743723683
E02001046,E02001046,153,0,1,1,21,6,0,56,4,1,63,0,0,0.017063608165710138
E02001046,E02001047,57,0,0,0,8,0,0,24,0,1,24,0,2228.39400814591,0.017999975757601254
E02001046,E02001048,19,0,0,0,0,4,0,11,4,0,0,0,2271.517794360544,0.01991213638889541
E02001046,E02001049,13,0,0,0,4,1,0,6,1,0,1,0,3573.971238520848,0.018966340015538603
E02001046,E02001050,234,0,0,0,34,12,1,99,24,1,62,1,1745.0018792119486,0.019211006950944944
E02001046,E02001051,42,0,0,0,5,1,0,23,5,1,7,0,2506.157339650925,0.015591686105107689
E02001046,E02001052,79,0,0,1,22,0,0,37,6,2,10,1,3004.604739311893,0.018824621937615724
E02001046,E02001053,34,0,0,0,4,0,0,22,3,0,5,0,2952.2023201892525,0.017573420824500675
E02001046,E02001055,46,0,0,0,9,0,2,23,10,1,1,0,4804.883009503468,0.020915318245185856
