Area of residence,Area of workplace,potential_demand
E02001041,E02001041,29
E02001041,E02001042,34
E02001041,E02001043,11
E02001041,E02001044,24
E02001041,E02001045,7
E02001041,E02001048,4
E02001041,E02001050,20
E02001041,E02001052,16
E02001041,E02001055,0
E02001041,E02001057,0
E02001041,E02001059,0
E02001041,E02001062,6
E02001041,E02001063,0
E02001041,E02001066,0
E02001041,E02001259,0
E02001041,E02006902,8
E02001041,E02006912,8
E02001041,E02006913,17
E02001041,E02006914,1
E02001041,E02006915,18
E02001041,E02006917,1
E02001042,E02001041,13
E02001042,E02001042,35
E02001042,E02001043,10
E02001042,E02001044,15
E02001042,E02001045,8
E02001042,E02001050,17
E02001042,E02001052,27
E02001042,E02001059,0
E02001042,E02001062,0
E02001042,E02001063,1
E02001042,E02001066,3
E02001042,E02001259,1
E02001042,E02006902,4
E02001042,E02006912,2
E02001042,E02006913,22
E02001042,E02006914,1
E02001042,E02006915,14
E02001042,E02006917,4
E02001043,E02001041,10
E02001043,E02001042,32
E02001043,E02001043,22
E02001043,E02001044,12
E02001043,E02001050,14
E02001043,E02001052,15
E02001043,E02001062,2
E02001043,E02001066,1
E02001043,E02001259,1
E02001043,E02006902,10
E02001043,E02006912,4
E02001043,E02006913,20
E02001043,E02006914,4
E02001043,E02006915,10
E02001043,E02006917,3
E02001044,E02001041,22
E02001044,E02001042,31
E02001044,E02001043,8
E02001044,E02001044,67
E02001044,E02001045,11
E02001044,E02001048,10
E02001044,E02001050,22
E02001044,E02001052,41
E02001044,E02001055,0
E02001044,E02001059,0
E02001044,E02001062,0
E02001044,E02001063,0
E02001044,E02001066,1
E02001044,E02001259,0
E02001044,E02006902,58
E02001044,E02006912,2
E02001044,E02006913,20
E02001044,E02006914,1
E02001044,E02006915,27
E02001044,E02006917,2
E02001045,E02001045,54
E02001045,E02001046,24
E02001045,E02001047,10
E02001045,E02001048,10
E02001045,E02001050,59
E02001045,E02001051,10
E02001045,E02001052,22
E02001045,E02001053,12
E02001045,E02001055,25
E02001045,E02001057,0
E02001045,E02001059,3
E02001045,E02001062,1
E02001045,E02001063,0
E02001045,E02001064,1
E02001045,E02001066,0
E02001045,E02001259,0
E02001045,E02006902,2
E02001045,E02006912,1
E02001045,E02006913,23
E02001045,E02006914,0
E02001045,E02006915,11
E02001045,E02006917,2
E02001046,E02001042,4
E02001046,E02001045,26
E02001046,E02001046,39
E02001046,E02001047,15
E02001046,E02001048,10
E02001046,E02001049,5
E02001046,E02001050,76
E02001046,E02001051,16
E02001046,E02001052,29
E02001046,E02001053,13
E02001046,E02001055,20
E02001046,E02001056,0
E02001046,E02001057,0
E02001046,E02001059,1
E02001046,E02001061,0
E02001046,E02001062,2
E02001046,E02001063,1
E02001046,E02001064,0
E02001046,E02001066,0
E02001046,E02001070,1
E02001046,E02001262,0
E02001046,E02006902,89
E02001046,E02006912,2
E02001046,E02006913,39
E02001046,E02006914,0
E02001046,E02006915,14
E02001046,E02006917,4
E02001047,E02001045,21
E02001047,E02001046,22
E02001047,E02001047,40
E02001047,E02001049,12
E02001047,E02001050,63
E02001047,E02001051,29
E02001047,E02001052,23
E02001047,E02001053,12
E02001047,E02001055,28
E02001047,E02001057,1
E02001047,E02001059,32
E02001047,E02001061,1
E02001047,E02001062,1
E02001047,E02001063,0
E02001047,E02001064,0
E02001047,E02001066,0
E02001047,E02001070,1
E02001047,E02001259,1
E02001047,E02006902,8
E02001047,E02006912,4
E02001047,E02006913,30
E02001047,E02006914,0
E02001047,E02006915,14
E02001047,E02006917,1
E02001048,E02001041,8
E02001048,E02001042,7
E02001048,E02001044,9
E02001048,E02001045,14
E02001048,E02001046,14
E02001048,E02001047,6
E02001048,E02001048,24
E02001048,E02001050,55
E02001048,E02001052,62
E02001048,E02001053,6
E02001048,E02001055,0
E02001048,E02001057,0
E02001048,E02001059,0
E02001048,E02001062,3
E02001048,E02001063,0
E02001048,E02001064,0
E02001048,E02001066,1
E02001048,E02001068,1
E02001048,E02001070,0
E02001048,E02001073,0
E02001048,E02001089,0
E02001048,E02001259,0
E02001048,E02001262,0
E02001048,E02006902,73
E02001048,E02006912,6
E02001048,E02006913,42
E02001048,E02006914,0
E02001048,E02006915,39
E02001048,E02006917,1
E02001049,E02001045,5
E02001049,E02001046,13
E02001049,E02001047,17
E02001049,E02001049,54
E02001049,E02001050,50
E02001049,E02001051,29
E02001049,E02001052,15
E02001049,E02001053,19
E02001049,E02001055,68
E02001049,E02001056,8
