Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02002868,E02002868,133,0,2,0,5,2,0,40,6,2,76,0,0,NaN
E02002868,E02002869,70,0,0,0,9,4,0,37,5,2,13,0,2431.488656180088,0.022189175542752206
E02002868,E02002871,20,0,0,0,0,1,0,13,1,0,5,0,2126.3190926194357,0.022320386909303578
E02002868,E02002872,56,0,0,0,4,1,1,42,2,1,5,0,3453.568648966868,0.021180004118529612
E02002868,E02002873,12,0,0,0,5,0,0,7,0,0,0,0,2592.714563871737,0.024930999457964193
E02002868,E02002874,137,0,0,0,34,0,0,87,9,1,6,0,3473.297625017338,0.026754801807404766
E02002868,E02002875,17,0,0,0,0,0,0,12,1,0,4,0,3248.358460296756,0.02098020231006401
E02002868,E02002876,29,0,1,0,5,0,1,19,2,1,0,0,4229.608880135693,0.02396210532170669
E02002868,E02002877,23,0,0,0,4,0,0,19,0,0,0,0,4910.694027910706,0.029528155221642358
E02002868,E02002879,39,0,0,0,5,0,0,30,1,1,1,1,4968.489271995234,0.02326237009899641
E02002868,E02002881,20,0,0,0,1,0,0,16,3,0,0,0,6686.135595714539,0.01945924969683843
E02002868,E02002882,17,0,0,0,5,0,0,9,3,0,0,0,6508.4316645030385,0.031113902429917142
E02002868,E02002883,11,0,0,0,1,0,0,8,1,1,0,0,6968.218135139389,0.03618948017827857
E02002868,E02002884,33,0,0,0,9,0,0,22,1,0,1,0,5881.153091795622,0.022492282231826012
E02002868,E02002885,18,0,1,0,2,0,0,13,1,0,1,0,5756.8842708323455,0.018547636577764648
E02002868,E02002886,19,0,1,0,2,0,0,14,1,0,1,0,6207.829548472636,0.02011061510617118
E02002868,E02002889,58,0,5,0,18,0,2,27,4,0,2,0,6906.576633591794,0.02416387759304038
E02002868,E02002890,102,0,3,0,57,0,0,32,5,1,4,0,7958.439221252556,0.03345146123915363
E02002868,E02002892,18,0,0,0,5,0,0,12,1,0,0,0,8545.955469074932,0.01921750777939568
E02002868,E02002893,26,0,0,0,8,1,0,15,0,2,0,0,6920.044900211516,0.0192449773408047
E02002868,E02002895,43,0,5,0,21,0,0,16,1,0,0,0,7414.157742512778,0.022657108688109856
E02002868,E02002896,41,0,0,0,10,0,1,27,0,3,0,0,9139.171632398418,0.041395673137214824
E02002868,E02002898,88,0,1,0,29,0,0,50,4,3,1,0,8410.7828523743,0.018603828115451807
E02002868,E02002899,26,0,0,0,5,0,1,19,1,0,0,0,10154.050020433753,0.021622810896827827
E02002868,E02006834,31,0,0,0,3,0,0,19,3,1,5,0,1453.3621652268437,0.01915757710443873
E02002868,E02006835,22,0,0,0,2,0,0,14,3,0,3,0,1194.7314459171798,0.022560299862466715
E02002868,E02006904,159,0,22,2,75,0,6,46,1,4,2,1,8992.253338399492,0.03121689564582898
E02002868,E02006905,45,0,1,0,14,0,0,28,2,0,0,0,9701.87621574394,0.026898896491091954
E02002869,E02002868,18,0,0,0,1,0,0,7,1,4,5,0,2414.613869441173,0.0191558781033886
E02002869,E02002869,325,0,7,0,19,3,0,80,10,5,201,0,0,0.042102169347244665
E02002869,E02002871,51,0,4,0,6,1,0,20,0,4,16,0,1487.3856914584185,0.03875244301141941
E02002869,E02002872,116,0,3,0,8,4,1,39,9,6,45,1,1648.0462015378034,0.019886633048891784
E02002869,E02002874,93,0,3,0,34,0,0,45,5,4,2,0,4540.544964421262,0.017800766941942173
E02002869,E02002875,30,0,3,2,6,0,0,12,2,4,1,0,2960.2207972274264,0.020945799526171982
E02002869,E02002876,29,0,2,0,9,1,0,11,2,1,2,1,3379.4209031210294,0.018799873251152642
E02002869,E02002877,18,0,0,1,4,0,0,10,2,0,1,0,5461.062835207823,0.022266879284124515
E02002869,E02002879,41,0,5,0,13,0,1,17,4,0,0,1,4683.177875478317,NaN
E02002869,E02002881,22,0,0,0,3,1,0,13,3,0,2,0,5412.720997575702,0.023939888784038698
E02002869,E02002884,26,0,1,0,9,0,0,16,0,0,0,0,5470.791909922126,0.029470000247285383
E02002869,E02002885,33,0,16,0,3,0,0,9,4,0,1,0,5376.813206654892,0.025228236868072018
E02002869,E02002886,23,0,2,0,1,0,0,16,1,1,2,0,5583.015172929548,0.023975558098105195
E02002869,E02002887,30,0,0,0,7,0,0,17,1,0,5,0,5914.4727803014075,0.018734910487286874
E02002869,E02002889,50,0,19,0,22,0,0,6,1,0,2,0,6526.505569414341,0.016459000155335617
E02002869,E02002890,67,0,17,0,20,0,0,22,1,2,5,0,7495.088631459879,0.027766637865540875
E02002869,E02002892,15,0,0,0,6,0,0,6,1,2,0,0,7265.209475854856,0.015256837283682892
E02002869,E02002893,32,0,5,0,8,0,0,12,2,3,2,0,6539.9738360340625,0.018622160134732984
E02002869,E02002895,38,0,8,0,8,0,0,20,1,1,0,0,7034.086678335325,0.0200574801834207
E02002869,E02002896,41,0,9,1,6,0,0,22,0,0,3,0,8963.443433982156,0.0335938358050833
E02002869,E02002898,82,0,4,1,29,0,2,33,6,5,2,0,8030.711788196846,0.017251308745328903
E02002869,E02002899,19,0,0,0,4,0,0,13,1,1,0,0,9529.235644890663,0.012065096474698797
E02002869,E02006834,11,0,0,0,0,0,0,9,1,0,1,0,3523.5429576485985,0.015100177609345584
E02002869,E02006835,11,0,1,0,2,0,0,4,1,0,3,0,3594.233833410385,0.019150361598556154
E02002869,E02006904,202,0,70,6,53,1,1,48,10,3,8,2,8583.665090997389,0.022155917312583224
E02002869,E02006905,54,0,13,0,7,1,1,26,5,1,0,0,9321.805151566485,0.018408164673277282
E02002871,E02002868,60,0,1,0,2,0,0,22,6,3,26,0,2075.1152947345236,0.013948686730935845
E02002871,E02002869,200,0,0,0,14,1,0,74,9,5,97,0,1487.3856914584185,0.017924071791244698
E02002871,E02002871,141,0,2,0,10,1,0,39,7,5,77,0,0,0.024739796542198184
E02002871,E02002872,132,0,2,0,10,0,0,64,16,3,37,0,2155.2390245693337,0.015156682895327494
E02002871,E02002874,168,0,0,0,60,1,1,73,19,1,13,0,3078.577026388848,0.01878531063847541
E02002871,E02002875,57,0,2,0,3,0,0,26,9,2,15,0,1472.835105769008,0.02411022812711913
E02002871,E02002876,41,0,1,0,6,1,0,22,5,1,5,0,2454.085525607946,0.027198212191745615
E02002871,E02002877,28,0,0,0,9,0,0,17,1,1,0,0,3999.09489717541,0.022195490485895322
E02002871,E02002879,65,0,0,0,14,1,0,36,5,2,7,0,3192.965917467485,0.023485418645336032
E02002871,E02002881,29,0,0,0,3,0,0,21,4,0,1,0,4902.287454918973,0.017820485048058873
E02002871,E02002882,29,0,1,0,8,0,0,16,3,1,0,0,5041.128266654575,0.0394031606564671
E02002871,E02002883,12,0,0,0,2,0,1,7,2,0,0,0,6427.13640201502,0.02457296078409509
E02002871,E02002884,43,0,0,0,14,0,0,26,2,0,1,0,4105.6297372678755,0.018860745646075625
E02002871,E02002885,39,0,4,0,11,0,0,18,3,0,1,2,3981.3609163045926,0.018351185721413303
E02002871,E02002886,31,0,2,0,0,0,0,21,4,1,3,0,4432.306193944887,0.01929055554180715
E02002871,E02002887,49,0,1,0,10,0,0,35,1,2,0,0,5786.395676823929,0.019849529590122615
E02002871,E02002889,57,0,8,0,25,0,0,19,2,2,1,0,5131.0532790640445,0.022302184013827994
E02002871,E02002890,116,0,8,0,67,0,2,31,4,0,4,0,6129.9264588056285,0.023939888784038698
E02002871,E02002892,20,0,0,0,6,0,1,10,0,2,1,0,6762.107328279364,NaN
E02002871,E02002893,39,0,0,0,7,0,0,27,2,2,1,0,5144.521545683764,0.024661200888971082
E02002871,E02002895,55,0,8,0,17,0,0,26,2,1,0,1,5638.634387985025,0.02551536811520037
E02002871,E02002896,66,0,0,1,16,1,3,38,2,3,1,1,7598.281261327901,0.02353770792165308
E02002871,E02002898,155,0,1,0,37,0,1,90,12,13,1,0,6635.2594978465495,0.013531018117393047
