Area of residence,Area of workplace,potential_demand
E02002868,E02002868,3
E02002868,E02002869,13
E02002868,E02002871,3
E02002868,E02002872,11
E02002868,E02002873,2
E02002868,E02002874,28
E02002868,E02002875,3
E02002868,E02002876,7
E02002868,E02002877,5
E02002868,E02002879,8
E02002868,E02002881,3
E02002868,E02002882,3
E02002868,E02002883,2
E02002868,E02002884,6
E02002868,E02002885,3
E02002868,E02002886,3
E02002868,E02002889,9
E02002868,E02002890,14
E02002868,E02002892,2
E02002868,E02002893,3
E02002868,E02002895,6
E02002868,E02002896,5
E02002868,E02002898,10
E02002868,E02002899,2
E02002868,E02006834,5
E02002868,E02006835,3
E02002868,E02006904,21
E02002868,E02006905,4
E02002869,E02002868,4
E02002869,E02002869,7
E02002869,E02002871,7
E02002869,E02002872,14
E02002869,E02002874,20
E02002869,E02002875,6
E02002869,E02002876,6
E02002869,E02002877,3
E02002869,E02002879,8
E02002869,E02002881,4
E02002869,E02002884,5
E02002869,E02002885,6
E02002869,E02002886,4
E02002869,E02002887,4
E02002869,E02002889,7
E02002869,E02002890,11
E02002869,E02002892,2
E02002869,E02002893,5
E02002869,E02002895,6
E02002869,E02002896,4
E02002869,E02002898,9
E02002869,E02002899,2
E02002869,E02006834,2
E02002869,E02006835,2
E02002869,E02006904,25
E02002869,E02006905,6
E02002871,E02002868,7
E02002871,E02002869,20
E02002871,E02002871,5
E02002871,E02002872,19
E02002871,E02002874,31
E02002871,E02002875,9
E02002871,E02002876,8
E02002871,E02002877,6
E02002871,E02002879,13
E02002871,E02002881,5
E02002871,E02002882,7
E02002871,E02002883,2
E02002871,E02002884,8
E02002871,E02002885,7
E02002871,E02002886,6
E02002871,E02002887,9
E02002871,E02002889,12
E02002871,E02002890,19
E02002871,E02002892,3
E02002871,E02002893,7
E02002871,E02002895,11
E02002871,E02002896,9
E02002871,E02002898,21
E02002871,E02002899,3
E02002871,E02006834,2
E02002871,E02006835,4
E02002871,E02006904,47
E02002871,E02006905,14
E02002872,E02002868,5
E02002872,E02002869,34
E02002872,E02002871,7
E02002872,E02002872,18
E02002872,E02002874,22
E02002872,E02002875,8
E02002872,E02002876,11
E02002872,E02002877,3
E02002872,E02002879,11
E02002872,E02002881,9
E02002872,E02002882,3
E02002872,E02002884,8
E02002872,E02002885,9
E02002872,E02002886,7
E02002872,E02002887,8
E02002872,E02002889,9
E02002872,E02002890,13
E02002872,E02002891,1
E02002872,E02002892,6
E02002872,E02002893,7
E02002872,E02002895,9
E02002872,E02002896,6
E02002872,E02002898,16
E02002872,E02002899,3
E02002872,E02006834,3
E02002872,E02006904,38
E02002872,E02006905,10
E02002873,E02002868,7
E02002873,E02002869,14
E02002873,E02002871,4
E02002873,E02002872,9
E02002873,E02002873,3
E02002873,E02002874,26
E02002873,E02002875,6
E02002873,E02002876,3
E02002873,E02002877,9
E02002873,E02002879,11
E02002873,E02002881,5
E02002873,E02002882,7
E02002873,E02002883,3
E02002873,E02002884,10
E02002873,E02002885,6
E02002873,E02002886,4
E02002873,E02002887,5
E02002873,E02002888,2
E02002873,E02002889,17
E02002873,E02002890,29
E02002873,E02002892,4
E02002873,E02002893,7
E02002873,E02002895,15
E02002873,E02002896,13
E02002873,E02002898,27
E02002873,E02002899,4
E02002873,E02006834,5
E02002873,E02006835,5
E02002873,E02006904,55
E02002873,E02006905,11
E02002874,E02002868,5
E02002874,E02002869,3
E02002874,E02002871,3
E02002874,E02002872,4
E02002874,E02002873,2
E02002874,E02002874,6
E02002874,E02002876,3
E02002874,E02002877,11
E02002874,E02002879,10
E02002874,E02002881,4
E02002874,E02002882,5
E02002874,E02002883,3
E02002874,E02002884,10
E02002874,E02002885,11
E02002874,E02002886,4
E02002874,E02002887,3
E02002874,E02002888,3
E02002874,E02002889,23
E02002874,E02002890,24
E02002874,E02002892,2
E02002874,E02002893,6
E02002874,E02002895,15
E02002874,E02002896,11
E02002874,E02002898,21
E02002874,E02002899,5
E02002874,E02006834,2
