Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,non_active,cycle_added_unweighted,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02002868,E02002868,133,0,2,0,5,2,0,40,6,2,76,0,0,0.026040534010027105,0.015037593984962405,0.007329223854641863,2.0517307539240397,55,0.0972272888977822,0.6590311685596544,3,0.022556390977443608,0,NA,NA
E02002868,E02002869,70,0,0,0,9,4,0,37,5,2,13,0,2431.488656180088,0.022189175542752206,0.02857142857142857,0.04141802802409631,0.6898307315550174,55,1.4121875064274725,9.572164287792567,12,0.17142857142857143,2.431488656180088,2-3 km,2-4 km
E02002868,E02002871,20,0,0,0,0,1,0,13,1,0,5,0,2126.3190926194357,0.022320386909303578,0,0.039925962312386314,0,15,0.5988894346857947,4.059424143708825,4,0.2,2.1263190926194357,2-3 km,2-4 km
E02002868,E02002872,56,0,0,0,4,1,1,42,2,1,5,0,3453.568648966868,0.021180004118529612,0.017857142857142856,0.04331694803939517,0.4122437906036788,50,1.6275341425390857,11.031838283137967,12,0.21428571428571427,3.453568648966868,3-4 km,2-4 km
E02002868,E02002873,12,0,0,0,5,0,0,7,0,0,0,0,2592.714563871737,0.024930999457964193,0,0.04271243359489958,0,12,0.512549203138795,3.4741882049596553,3,0.25,2.592714563871737,2-3 km,2-4 km
E02002868,E02002874,137,0,0,0,34,0,0,87,9,1,6,0,3473.297625017338,0.026754801807404766,0.0072992700729927005,0.04473545161617803,0.16316522599613165,130,5.193708262160885,35.20426892462591,36,0.26277372262773724,3.473297625017338,3-4 km,2-4 km
E02002868,E02002875,17,0,0,0,0,0,0,12,1,0,4,0,3248.358460296756,0.02098020231006401,0,0.04315140865540434,0,13,0.5609683125202564,3.8023851813232534,4,0.23529411764705882,3.2483584602967563,3-4 km,2-4 km
E02002868,E02002876,29,0,1,0,5,0,1,19,2,1,0,0,4229.608880135693,0.02396210532170669,0.034482758620689655,0.043330507552212585,0.7958078630659581,28,0.6988593339171293,4.737045419156321,6,0.20689655172413793,4.229608880135693,4-5 km,4-6 km
E02002868,E02002877,23,0,0,0,4,0,0,19,0,0,0,0,4910.694027910706,0.029528155221642358,0,0.042940200375936474,0,23,0.9876246086465389,6.694369526428774,7,0.30434782608695654,4.910694027910706,4-5 km,4-6 km
E02002868,E02002879,39,0,0,0,5,0,0,30,1,1,1,1,4968.489271995234,0.02326237009899641,0.02564102564102564,0.04122881342993099,0.6219200483322898,37,0.9912563228827622,6.718986204566218,8,0.20512820512820512,4.968489271995234,4-5 km,4-6 km
E02002868,E02002881,20,0,0,0,1,0,0,16,3,0,0,0,6686.135595714539,0.01945924969683843,0,0.033350108068999636,0,20,0.6670021613799927,4.5211094418996876,5,0.25,6.686135595714539,6-7 km,6-8 km
E02002868,E02002882,17,0,0,0,5,0,0,9,3,0,0,0,6508.4316645030385,0.031113902429917142,0,0.03656023879444963,0,17,0.6215240595056437,4.212847358672857,4,0.23529411764705882,6.508431664503038,6-7 km,6-8 km
E02002868,E02002883,11,0,0,0,1,0,0,8,1,1,0,0,6968.218135139389,0.03618948017827857,0.09090909090909091,0.03531988018510305,2.5738788023248693,10,0.05932045820440286,0.4020890773889871,1,0.09090909090909091,6.968218135139389,6-7 km,6-8 km
E02002868,E02002884,33,0,0,0,9,0,0,22,1,0,1,0,5881.153091795622,0.022492282231826012,0,0.03757320933120642,0,32,1.2023426985986054,8.149783076844404,8,0.24242424242424243,5.881153091795621,5-6 km,4-6 km
E02002868,E02002885,18,0,1,0,2,0,0,13,1,0,1,0,5756.8842708323455,0.018547636577764648,0,0.03723459405999939,0,17,0.6329880990199896,4.290553519599512,4,0.2222222222222222,5.756884270832345,5-6 km,4-6 km
E02002868,E02002886,19,0,1,0,2,0,0,14,1,0,1,0,6207.829548472636,0.02011061510617118,0,0.03564618653682898,0,18,0.6416313576629217,4.349139713950805,4,0.21052631578947367,6.207829548472636,6-7 km,6-8 km
E02002868,E02002889,58,0,5,0,18,0,2,27,4,0,2,0,6906.576633591794,0.02416387759304038,0,0.033226617026113896,0,56,1.860690553462378,12.612231439111868,13,0.22413793103448276,6.906576633591794,6-7 km,6-8 km
E02002868,E02002890,102,0,3,0,57,0,0,32,5,1,4,0,7958.439221252556,0.03345146123915363,0.00980392156862745,0.029731233953770957,0.3297515866267626,97,2.294666365545992,15.553829315658367,17,0.16666666666666666,7.958439221252556,7-8 km,6-8 km
E02002868,E02002892,18,0,0,0,5,0,0,12,1,0,0,0,8545.955469074932,0.01921750777939568,0,0.024663682792777843,0,18,0.44394629027000115,3.009180300830502,3,0.16666666666666666,8.545955469074931,8-9 km,8-10 km
E02002868,E02002893,26,0,0,0,8,1,0,15,0,2,0,0,6920.044900211516,0.0192449773408047,0.07692307692307693,0.03222426565641909,2.3871165209238465,24,0.14784294158178932,1.0021168712868,3,0.11538461538461539,6.920044900211516,6-7 km,6-8 km
E02002868,E02002895,43,0,5,0,21,0,0,16,1,0,0,0,7414.157742512778,0.022657108688109856,0,0.03050917584001678,0,43,1.3118945611207216,8.892353324295618,9,0.20930232558139536,7.414157742512778,7-8 km,6-8 km
