Area of residence,Area of workplace,potential_demand
E02005940,E02005940,20
E02005940,E02005941,45
E02005940,E02005942,47
E02005940,E02005945,44
E02005940,E02005946,4
E02005940,E02005947,330
E02005940,E02005948,61
E02005940,E02005949,30
E02005940,E02005950,21
E02005940,E02005952,19
E02005940,E02005954,12
E02005940,E02005955,6
E02005940,E02005956,1
E02005940,E02005978,2
E02005940,E02005979,5
E02005941,E02005940,6
E02005941,E02005941,56
E02005941,E02005942,51
E02005941,E02005945,89
E02005941,E02005946,4
E02005941,E02005947,417
E02005941,E02005948,71
E02005941,E02005949,46
E02005941,E02005950,21
E02005941,E02005951,5
E02005941,E02005952,21
E02005941,E02005954,21
E02005941,E02005955,3
E02005941,E02005956,3
E02005941,E02005979,6
E02005942,E02005940,7
E02005942,E02005941,29
E02005942,E02005942,49
E02005942,E02005945,53
E02005942,E02005946,2
E02005942,E02005947,413
E02005942,E02005948,61
E02005942,E02005949,48
E02005942,E02005950,21
E02005942,E02005952,11
E02005942,E02005954,14
E02005942,E02005955,11
E02005942,E02005979,13
E02005943,E02005940,7
E02005943,E02005941,24
E02005943,E02005942,51
E02005943,E02005943,22
E02005943,E02005944,3
E02005943,E02005945,143
E02005943,E02005946,11
E02005943,E02005947,414
E02005943,E02005948,56
E02005943,E02005949,76
E02005943,E02005950,49
E02005943,E02005952,39
E02005943,E02005953,6
E02005943,E02005954,37
E02005943,E02005955,15
E02005943,E02005956,3
E02005943,E02005957,6
E02005943,E02005979,10
E02005944,E02005940,6
E02005944,E02005941,19
E02005944,E02005942,9
E02005944,E02005943,6
E02005944,E02005944,3
E02005944,E02005945,130
E02005944,E02005946,17
E02005944,E02005947,149
E02005944,E02005948,21
E02005944,E02005949,82
E02005944,E02005950,19
E02005944,E02005952,91
E02005944,E02005953,3
E02005944,E02005954,29
E02005944,E02005955,13
E02005944,E02005956,11
E02005944,E02005957,3
E02005944,E02005979,3
E02005945,E02005940,7
E02005945,E02005941,22
E02005945,E02005942,25
E02005945,E02005943,6
E02005945,E02005944,5
E02005945,E02005945,155
E02005945,E02005946,15
E02005945,E02005947,367
E02005945,E02005948,71
E02005945,E02005949,123
E02005945,E02005950,35
E02005945,E02005952,50
E02005945,E02005953,3
E02005945,E02005954,45
E02005945,E02005955,22
E02005945,E02005956,3
E02005945,E02005979,15
E02005946,E02005940,2
E02005946,E02005941,19
E02005946,E02005942,13
E02005946,E02005944,3
E02005946,E02005945,208
E02005946,E02005946,15
E02005946,E02005947,225
E02005946,E02005948,49
E02005946,E02005949,130
E02005946,E02005950,32
E02005946,E02005951,3
E02005946,E02005952,108
E02005946,E02005953,5
E02005946,E02005954,43
E02005946,E02005955,27
