Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,non_active,cycle_added_unweighted,cycling_increase,potential_demand,cycle_fraction
E02005940,E02005940,78,0,0,1,4,0,1,26,2,19,25,0,0,0.014383029887343482,0.24358974358974358,0.03761502366080184,34,1.2789108044672626,1.1460049514827746,20,0.2564102564102564
E02005940,E02005941,119,0,0,4,9,0,0,42,2,33,29,0,1244.0801239842071,0.011527007917241209,0.2773109243697479,0.24023604585267969,57,13.693454613602743,12.270415368513753,45,0.37815126050420167
E02005940,E02005942,103,0,0,1,22,0,1,35,2,31,11,0,2015.4511395237105,0.009479390166245025,0.30097087378640774,0.2897937167267623,61,17.6774167203325,15.84035964053348,47,0.4563106796116505
E02005940,E02005945,129,0,0,0,21,0,2,67,4,27,8,0,5664.034892933039,0.014992692827653309,0.20930232558139536,0.19835870862909744,94,18.64571861113516,16.708034506922793,44,0.34108527131782945
E02005940,E02005946,16,0,0,0,1,0,0,11,2,2,0,0,6865.83704039351,0.013585638606081658,0.125,0.1570700007730913,14,2.198980010823278,1.9704595283834976,4,0.25
E02005940,E02005947,609,0,0,4,225,0,6,90,11,242,31,0,3975.78260388667,0.008176944499681147,0.3973727422003284,0.29063232317252446,336,97.65246058596821,87.50430676251334,330,0.541871921182266
E02005940,E02005948,123,0,0,0,37,0,2,27,3,44,10,0,4393.852303157863,0.010065914959384257,0.35772357723577236,0.2680282170470367,69,18.493946976245535,16.572035151478616,61,0.4959349593495935
E02005940,E02005949,87,0,0,0,15,0,1,42,5,23,1,0,7587.561120428493,0.01442009530787798,0.26436781609195403,0.1275296092940097,63,8.03436538552261,7.199425074578305,30,0.3448275862068966
E02005940,E02005950,55,0,0,0,12,0,0,24,2,14,3,0,5816.575018724068,0.009625733785336653,0.2545454545454545,0.21597838641802253,38,8.207178683884855,7.354279420099062,21,0.38181818181818183
E02005940,E02005952,79,0,0,0,9,0,1,51,5,12,0,1,8215.78603072224,0.0124390487685148,0.1518987341772152,0.11152520247402266,67,7.472188565759518,6.695670303872688,19,0.24050632911392406
E02005940,E02005954,56,0,0,0,9,0,1,34,3,7,2,0,8124.533982490118,0.01039247851033299,0.125,0.12030612795328856,47,5.654388013804562,5.066777635148794,12,0.21428571428571427
E02005940,E02005955,28,0,0,0,3,0,2,19,0,4,0,0,9024.77832348553,0.01205198356791366,0.14285714285714285,0.08736865995910914,24,2.0968478390186194,1.8789410470437582,6,0.21428571428571427
E02005940,E02005956,12,0,0,0,1,0,0,10,1,0,0,0,10172.496372658818,0.010474358029548684,0,0.061197566145314554,12,0.7343707937437747,0.6580541527329352,1,0.08333333333333333
E02005940,E02005978,12,0,0,0,1,0,0,10,0,1,0,0,7759.0987272261855,0.01483140574805015,0.08333333333333333,0.12036283321903318,11,1.323991165409365,1.1864005104801827,2,0.16666666666666666
E02005940,E02005979,24,0,0,1,2,0,0,18,0,3,0,0,7260.228187352764,0.019052030842452838,0.125,0.12503882380351344,21,2.6258152998737825,2.352937612868224,5,0.20833333333333334
E02005941,E02005940,24,0,0,0,2,0,0,6,0,4,12,0,1244.080123984207,0.010158069716701355,0.16666666666666666,0.24702940381185753,8,1.9762352304948603,1.7708626368085276,6,0.25
E02005941,E02005941,259,0,0,5,9,0,0,30,3,54,157,1,0,0.010391520402958309,0.2084942084942085,0.041705775843889896,48,2.001877240506715,1.7938399002243273,56,0.21621621621621623
E02005941,E02005942,122,0,0,0,2,0,0,21,2,45,52,0,1580.5406604759187,0.01329243227078418,0.36885245901639346,0.25215599362332436,25,6.303899840583109,5.648791460456102,51,0.4180327868852459
E02005941,E02005945,195,0,0,2,42,0,1,83,4,58,5,0,4624.332447625041,0.009734090257142293,0.29743589743589743,0.26207328370860966,132,34.593673449536475,30.99865989455077,89,0.4564102564102564
E02005941,E02005946,13,0,0,0,0,0,0,10,0,2,0,1,6149.170638553276,0.01124185423309637,0.15384615384615385,0.19501379150509826,11,2.145151706556081,1.922225122196097,4,0.3076923076923077
E02005941,E02005947,728,0,1,3,209,2,4,70,9,342,88,0,3540.872124838879,0.01152723386335681,0.4697802197802198,0.2820057768634464,298,84.03772150530703,75.30442671999302,417,0.5728021978021978
E02005941,E02005948,133,0,0,0,35,0,0,15,5,58,20,0,3958.9418241100725,0.014383029887343482,0.43609022556390975,0.25783077090548345,55,14.18069239980159,12.707018854529323,71,0.5338345864661654
E02005941,E02005949,105,0,0,0,29,0,0,42,0,33,1,0,6409.148779966068,0.00615840591958132,0.3142857142857143,0.20575357652153603,71,14.608503933029057,13.090371730795265,46,0.4380952380952381
E02005941,E02005950,55,0,0,0,7,1,1,26,1,14,5,0,5049.451307809455,0.01531522668892206,0.2545454545454545,0.2196509298532045,36,7.907433474715362,7.085684071078948,21,0.38181818181818183
E02005941,E02005951,14,0,0,0,1,0,0,10,0,3,0,0,5173.774848596323,0.013432302559590851,0.21428571428571427,0.22389227228745254,11,2.462814995161978,2.2068764836319743,5,0.35714285714285715
E02005941,E02005952,77,0,0,0,8,0,4,46,1,14,4,0,7826.193311978856,0.009427280809544318,0.18181818181818182,0.13409790209713104,59,7.911776223730731,7.08957551671947,21,0.2727272727272727
E02005941,E02005954,62,0,0,0,16,0,0,30,2,14,0,0,7357.410271575505,0.008796423530023353,0.22580645161290322,0.1545544818033835,48,7.418615126562408,6.647664276889887,21,0.3387096774193548
E02005941,E02005955,31,0,0,0,3,0,0,18,4,1,5,0,8589.867844437742,0.014553780219175232,0.03225806451612903,0.09447919749287954,25,2.3619799373219887,2.1165203187109847,3,0.0967741935483871
E02005941,E02005956,16,0,0,0,3,0,0,10,0,2,0,1,9405.372661744206,0.00984302691873645,0.125,0.0812956036631388,14,1.1381384512839432,1.0198618199864642,3,0.1875
E02005941,E02005979,32,0,0,0,7,0,0,20,2,2,0,1,6825.31770830497,0.012944461286352946,0.0625,0.16095902050465677,30,4.828770615139703,4.326959327573869,6,0.1875
E02005942,E02005940,12,0,0,0,3,0,0,3,0,5,1,0,2015.4511395237107,0.010639035884310432,0.4166666666666667,0.2834084907307546,6,1.7004509443845275,1.5237381647033477,7,0.5833333333333334
E02005942,E02005941,67,0,0,1,1,0,0,18,0,24,22,1,1588.0744175914374,0.012489638724040594,0.3582089552238806,0.25663774025540603,21,5.389392545363527,4.829320794614535,29,0.43283582089552236
E02005942,E02005942,131,0,0,3,0,0,0,24,2,48,54,0,0,0.010671061954667138,0.366412213740458,0.041405930108784024,29,1.2007719731547366,1.0759863956347506,49,0.37404580152671757
E02005942,E02005945,119,0,0,2,24,0,4,44,4,36,4,1,4340.732811228732,0.014461124841542241,0.3025210084033613,0.2470412509897091,79,19.51625882818702,17.488107202940007,53,0.44537815126050423
E02005942,E02005946,11,0,0,0,3,0,0,7,0,1,0,0,6102.177073805884,0.018953441769378708,0.09090909090909091,0.16615548143251632,10,1.6615548143251633,1.4888841643415964,2,0.18181818181818182
E02005942,E02005947,805,0,0,2,91,0,1,54,5,374,275,3,1969.6373111325752,0.01104811409233859,0.4645962732919255,0.2797886153224977,156,43.64702399030964,39.11117603797106,413,0.5130434782608696
E02005942,E02005948,112,0,0,0,2,0,0,12,0,57,41,0,2511.8897128953286,0.00939870469180685,0.5089285714285714,0.2997573498699294,14,4.1966028981790116,3.7604871926337826,61,0.5446428571428571
E02005942,E02005949,91,0,0,3,15,0,2,29,1,39,2,0,5933.780545117702,0.01310511535432704,0.42857142857142855,0.1958684685183374,50,9.79342342591687,8.775679819784823,48,0.5274725274725275
E02005942,E02005950,38,0,0,0,3,0,0,12,1,17,5,0,3810.4297259699697,0.009944955702302727,0.4473684210526316,0.2850356691153457,16,4.560570705845532,4.086631055293471,21,0.5526315789473685
E02005942,E02005952,49,0,0,0,5,0,0,37,1,4,2,0,6209.640737968143,0.011492371366704368,0.08163265306122448,0.19146942093872707,43,8.233185100365263,7.377583220452274,11,0.22448979591836735
E02005942,E02005954,43,0,0,1,4,0,1,26,2,8,1,0,6118.388689736023,0.00947974288821826,0.18604651162790697,0.20387933633636807,34,6.931897435436515,6.211526837080796,14,0.32558139534883723
E02005942,E02005955,37,0,0,0,4,0,1,24,1,6,1,0,7018.633030731437,0.006158607799029989,0.16216216216216217,0.17868547696572737,30,5.360564308971821,4.803488421057278,11,0.2972972972972973
E02005942,E02005979,30,0,0,0,0,0,1,19,0,9,1,0,5378.265597090224,0.014383029887343482,0.3,0.2118790872715828,20,4.2375817454316564,3.7972074718694793,13,0.43333333333333335
E02005943,E02005940,18,0,0,0,4,0,0,10,0,4,0,0,4656.556097260135,0.015119674882510429,0.2222222222222222,0.23396108623336354,14,3.2754552072670897,2.9350662085083736,7,0.3888888888888889
