Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02001041,E02001041,138,0,8,1,9,1,0,44,4,1,70,0,0,NaN
E02001041,E02001042,134,0,8,0,5,1,0,48,11,1,59,1,1655.1681724718137,0.020010040715795256
E02001041,E02001043,30,0,0,0,0,0,0,16,4,1,9,0,2638.514048449959,0.020109948295042215
E02001041,E02001044,72,0,7,1,6,1,0,37,2,1,16,1,1743.3629747364373,0.014296905222010693
E02001041,E02001045,18,0,4,0,2,2,0,9,0,0,1,0,3402.5240649117663,0.03118144540201297
E02001041,E02001048,12,0,1,0,0,0,0,7,0,0,4,0,2940.5132826423123,0.025299368717738604
E02001041,E02001050,46,0,5,0,6,0,0,32,3,0,0,0,5570.078508648794,0.024842720150036333
E02001041,E02001052,36,0,4,0,9,1,0,18,1,3,0,0,4397.951346131036,0.013525455709908218
E02001041,E02001055,18,0,0,0,1,1,1,15,0,0,0,0,8941.227523920328,0.018592621208521683
E02001041,E02001057,11,0,3,0,2,0,0,6,0,0,0,0,8031.802122483058,0.018061261951149106
E02001041,E02001059,16,0,0,0,1,0,1,13,1,0,0,0,10152.774671351599,0.017231178980407973
E02001041,E02001062,47,0,10,0,6,2,0,17,6,6,0,0,9495.78274917482,0.01787023305675492
E02001041,E02001063,27,0,6,0,7,0,0,13,1,0,0,0,10631.42636759877,0.019238734226877437
E02001041,E02001066,27,0,4,1,4,0,0,16,2,0,0,0,11122.93009307693,0.015926988685754026
E02001041,E02001259,21,0,5,0,0,0,0,15,1,0,0,0,10688.763176919907,0.01999213792490615
E02001041,E02006902,244,0,89,1,44,0,1,77,19,8,5,0,6992.825410571333,0.01572548179104502
E02001041,E02006912,138,0,49,2,22,1,3,51,2,8,0,0,8431.293305206547,0.018234931863503855
E02001041,E02006913,45,0,7,0,8,0,0,23,5,0,2,0,5151.440119673592,0.011858848091322266
E02001041,E02006914,33,0,14,0,6,0,0,11,1,1,0,0,9038.502636477295,0.018047018609139154
E02001041,E02006915,35,0,0,0,3,0,0,29,1,2,0,0,4890.723707366327,0.013685015616997157
E02001041,E02006917,81,0,35,0,11,0,1,30,3,1,0,0,9022.140512387625,0.020322483721105452
E02001042,E02001041,47,0,0,0,3,4,0,18,2,0,20,0,1655.1681724718137,0.02784792376020369
E02001042,E02001042,135,0,8,1,7,1,0,55,4,2,57,0,0,0.022340192648380046
E02001042,E02001043,30,0,0,0,1,0,0,17,3,0,9,0,983.3458759781449,0.021284313044089405
E02001042,E02001044,41,0,1,0,3,0,0,21,3,2,11,0,1259.8879843655927,0.019208134829835515
E02001042,E02001045,16,0,0,0,1,0,0,13,0,1,1,0,4223.980033243669,0.016270438065627668
E02001042,E02001050,36,0,3,0,1,0,0,28,3,1,0,0,4988.5999066425475,0.020185247771914085
E02001042,E02001052,58,0,3,0,5,1,0,43,4,1,1,0,3891.7411046994257,0.021745353573541366
E02001042,E02001059,20,0,0,0,1,0,0,18,1,0,0,0,9646.564429919988,0.017181009899032252
E02001042,E02001062,26,0,2,0,6,1,1,16,0,0,0,0,9295.759516083306,0.01609962689796246
E02001042,E02001063,15,0,5,0,0,0,0,9,0,1,0,0,8976.258195126959,0.019496265020419862
E02001042,E02001066,24,0,1,0,5,0,0,14,1,3,0,0,10695.055090292597,0.018779106026400177
E02001042,E02001259,22,0,2,0,1,0,0,17,1,1,0,0,9033.595004448087,0.01854154902433429
E02001042,E02006902,172,0,45,0,37,0,1,72,10,4,3,0,6883.837911042566,0.014708867155227972
E02001042,E02006912,102,0,30,1,15,2,0,44,6,2,2,0,8264.605583134533,0.01615189800949765
E02001042,E02006913,56,0,6,2,10,0,0,31,5,0,2,0,4645.229878241979,0.016099804816518043
E02001042,E02006914,29,0,13,0,6,0,0,8,0,1,1,0,8253.850351428195,0.013968043822590148
E02001042,E02006915,31,0,2,0,0,1,0,27,0,0,1,0,4787.340046298393,0.015638701210198794
E02001042,E02006917,72,0,17,0,9,0,1,37,2,4,1,1,7366.972339915814,0.018826675208933205
E02001043,E02001041,31,0,0,0,2,0,0,13,3,2,11,0,2638.5140484499584,0.016531023768346406
E02001043,E02001042,106,0,3,0,13,1,0,41,13,1,34,0,983.345875978145,0.01728532661645215
E02001043,E02001043,94,0,1,1,6,0,1,36,1,1,47,0,0,0.01602281696369319
E02001043,E02001044,31,0,1,0,1,2,0,20,2,0,5,0,2257.276899181066,0.014800909318440983
E02001043,E02001050,31,0,0,0,2,0,0,28,0,0,1,0,5889.800198471897,0.015184369964779657
E02001043,E02001052,30,0,2,0,2,0,0,22,2,2,0,0,4370.52441046868,0.014958708472269036
E02001043,E02001062,32,0,3,0,4,0,1,19,2,2,0,1,8768.749121481585,0.01926068464850259
E02001043,E02001066,21,0,1,0,7,0,0,12,0,1,0,0,10168.04469569088,0.018495284649948443
E02001043,E02001259,15,0,1,0,0,0,0,12,1,1,0,0,8506.584609846357,0.015880003967227146
E02001043,E02006902,142,0,20,0,39,1,0,65,6,10,1,0,6800.247368234186,0.015390711012066259
E02001043,E02006912,87,0,12,0,20,0,1,42,5,4,2,1,7737.595188532813,0.01625110118778466
E02001043,E02006913,45,0,1,0,4,0,1,35,3,0,1,0,5249.653346014599,0.014986050023767702
E02001043,E02006914,42,0,9,0,5,0,0,18,5,4,1,0,7726.839956826473,0.017720763509691345
E02001043,E02006915,23,0,0,0,4,1,0,15,2,0,1,0,4724.513621206991,0.013419329811449547
E02001043,E02006917,58,0,9,0,13,0,0,31,2,3,0,0,6839.961945314092,0.019811661110846965
E02001044,E02001041,72,0,2,0,3,2,0,38,3,0,24,0,1743.3629747364378,0.015029712750860732
E02001044,E02001042,96,0,2,0,0,2,0,53,4,1,33,1,1259.8879843655927,0.01447820016739306
E02001044,E02001043,20,0,0,0,0,2,0,12,2,0,4,0,2257.276899181066,0.014425633446498562
E02001044,E02001044,232,0,5,0,6,2,3,110,11,2,93,0,0,0.01752532600728426
E02001044,E02001045,25,0,0,0,2,2,0,16,3,0,2,0,3285.0423459320004,0.01552076539237164
E02001044,E02001048,32,0,3,0,1,1,0,18,0,0,9,0,1911.0203735185812,0.020010040715795256
E02001044,E02001050,52,0,0,0,3,0,0,37,2,2,8,0,3952.817311551673,NaN
E02001044,E02001052,112,0,0,0,8,0,0,71,7,0,26,0,2369.963908675445,0.025392692448172088
E02001044,E02001055,14,0,0,0,1,0,0,12,1,0,0,0,7401.51267173523,0.022986624338525417
E02001044,E02001059,14,0,0,0,2,1,0,10,0,0,1,0,8124.787233896006,0.022474636759476547
E02001044,E02001062,36,0,8,1,3,0,3,17,4,0,0,0,7983.873895476814,0.02059633053095327
E02001044,E02001063,16,0,0,0,5,0,0,10,1,0,0,0,7960.241107262913,0.023394024491816292
E02001044,E02001066,25,0,2,1,5,0,0,16,0,1,0,0,9611.021239378922,0.0159818544461196
E02001044,E02001259,14,0,0,1,0,0,0,12,1,0,0,0,8606.391751340163,0.017880685762445003
E02001044,E02006902,170,0,49,1,37,0,4,65,10,1,3,0,5131.169088428024,0.01957630811329881
E02001044,E02006912,98,0,35,0,19,0,1,33,6,2,2,0,6919.384451508537,0.01840917785916559
E02001044,E02006913,46,0,0,0,9,0,0,30,3,2,2,0,3289.783797530285,0.022798975270100944
E02001044,E02006914,34,0,9,0,6,0,0,16,1,1,0,1,7505.761005337159,0.02140140510376702
E02001044,E02006915,59,0,0,0,5,0,0,49,3,0,2,0,3029.067385223022,0.020172767120274365
E02001044,E02006917,72,0,20,1,12,1,2,27,5,2,2,0,6350.955252051765,0.01998777204319286
E02001045,E02001045,236,0,3,1,20,2,1,78,17,0,113,1,0,0.026587981899182735
E02001045,E02001046,71,0,3,0,11,2,0,35,4,0,15,1,1786.390641822357,0.023916368643941907
E02001045,E02001047,24,0,0,0,2,2,0,14,3,0,3,0,3798.6771185343714,0.013734275076305416
E02001045,E02001048,43,0,1,0,9,1,0,14,2,0,16,0,1755.513652120513,0.02278903335710007
E02001045,E02001050,150,0,0,0,40,1,0,74,14,6,14,1,2773.8397075232456,0.025256982524110523
E02001045,E02001051,23,0,0,0,5,0,0,13,4,0,1,0,3656.57655738445,0.02310558725632968
E02001045,E02001052,57,0,0,0,19,3,0,26,2,2,4,1,3237.122670231654,0.023714924957437645
E02001045,E02001053,32,0,0,0,11,1,0,14,5,0,1,0,3858.2757397953183,0.020331079141901996
E02001045,E02001055,47,0,0,0,3,0,1,29,8,5,1,0,5955.302227236993,0.02175499606854108
E02001045,E02001057,16,0,0,3,2,0,0,9,2,0,0,0,6944.79757177436,0.021385892760592135
E02001045,E02001059,44,0,0,0,4,2,0,28,3,3,4,0,7884.074791278972,0.018395171784657157
E02001045,E02001062,56,0,1,0,10,0,3,35,3,1,3,0,8916.396525235183,0.018437933996935562
E02001045,E02001063,18,0,0,1,4,0,0,11,2,0,0,0,9279.28401409073,0.020408300616324575
E02001045,E02001064,26,0,0,0,8,1,0,13,1,1,2,0,10933.399948196224,0.018123345033658117
E02001045,E02001066,33,0,2,0,13,0,0,16,2,0,0,0,10543.543869137293,0.0201647721664004
E02001045,E02001259,15,0,1,0,2,0,1,10,1,0,0,0,10211.429360235465,0.019408249606580077
E02001045,E02006902,218,0,17,2,98,0,1,79,16,2,3,0,6413.439186631697,0.020709293664778864
E02001045,E02006912,108,0,4,1,35,0,1,56,5,1,3,2,7851.90708126691,0.018317136200452104
E02001045,E02006913,57,0,0,0,17,2,0,34,2,1,1,0,4430.219069795918,0.015436661597902303
E02001045,E02006914,25,0,2,0,10,1,0,10,0,0,2,0,8459.116412537664,0.017021254748746426
E02001045,E02006915,25,0,0,0,4,0,0,13,4,2,2,0,4311.337483426692,0.01690249086406417
E02001045,E02006917,58,0,3,1,22,0,0,24,4,2,2,0,7941.092834953545,0.01652410669844016
E02001046,E02001042,12,0,0,1,4,0,1,5,1,0,0,0,4928.593146471151,0.018287833464673057
E02001046,E02001045,107,0,1,0,2,5,2,37,3,1,55,1,1786.3906418223578,0.01863268110220663
E02001046,E02001046,153,0,1,1,21,6,0,56,4,1,63,0,0,0.016108252570593257
E02001046,E02001047,57,0,0,0,8,0,0,24,0,1,24,0,2228.39400814591,0.016904605213501123
E02001046,E02001048,19,0,0,0,0,4,0,11,4,0,0,0,2271.517794360544,0.018993688532801655
E02001046,E02001049,13,0,0,0,4,1,0,6,1,0,1,0,3573.971238520848,0.01811746314426804
E02001046,E02001050,234,0,0,0,34,12,1,99,24,1,62,1,1747.2655780095101,0.018392510900021603
E02001046,E02001051,42,0,0,0,5,1,0,23,5,1,7,0,2508.4210384484863,0.015591705844118309
E02001046,E02001052,79,0,0,1,22,0,0,37,6,2,10,1,3006.8684381094545,0.018824625082131834
E02001046,E02001053,34,0,0,0,4,0,0,22,3,0,5,0,2954.466018986814,0.017573391690642134
E02001046,E02001055,46,0,0,0,9,0,2,23,10,1,1,0,4807.146708301029,0.01980606709123168
