Area of residence,Area of workplace,potential_demand
E02005940,E02005940,21
E02005940,E02005941,52
E02005940,E02005942,55
E02005940,E02005945,53
E02005940,E02005946,5
E02005940,E02005947,376
E02005940,E02005948,69
E02005940,E02005949,34
E02005940,E02005950,25
E02005940,E02005952,22
E02005940,E02005954,15
E02005940,E02005955,7
E02005940,E02005956,1
E02005940,E02005978,3
E02005940,E02005979,7
E02005941,E02005940,7
E02005941,E02005941,57
E02005941,E02005942,54
E02005941,E02005945,106
E02005941,E02005946,5
E02005941,E02005947,457
E02005941,E02005948,77
E02005941,E02005949,53
E02005941,E02005950,25
E02005941,E02005951,6
E02005941,E02005952,25
E02005941,E02005954,24
E02005941,E02005955,4
E02005941,E02005956,4
E02005941,E02005979,9
E02005942,E02005940,7
E02005942,E02005941,31
E02005942,E02005942,50
E02005942,E02005945,63
E02005942,E02005946,3
E02005942,E02005947,434
E02005942,E02005948,63
E02005942,E02005949,52
E02005942,E02005950,23
E02005942,E02005952,15
E02005942,E02005954,18
E02005942,E02005955,13
E02005942,E02005979,15
E02005943,E02005940,9
E02005943,E02005941,27
E02005943,E02005942,57
E02005943,E02005943,23
E02005943,E02005944,4
E02005943,E02005945,163
E02005943,E02005946,14
E02005943,E02005947,450
E02005943,E02005948,63
E02005943,E02005949,85
E02005943,E02005950,56
E02005943,E02005952,51
E02005943,E02005953,8
E02005943,E02005954,45
E02005943,E02005955,18
E02005943,E02005956,3
E02005943,E02005957,7
E02005943,E02005979,12
E02005944,E02005940,6
E02005944,E02005941,21
E02005944,E02005942,12
E02005944,E02005943,7
E02005944,E02005944,3
E02005944,E02005945,159
E02005944,E02005946,19
E02005944,E02005947,191
E02005944,E02005948,25
E02005944,E02005949,94
E02005944,E02005950,27
E02005944,E02005952,118
E02005944,E02005953,4
E02005944,E02005954,38
E02005944,E02005955,17
E02005944,E02005956,16
E02005944,E02005957,3
E02005944,E02005979,4
E02005945,E02005940,9
E02005945,E02005941,27
E02005945,E02005942,31
E02005945,E02005943,7
E02005945,E02005944,6
E02005945,E02005945,158
E02005945,E02005946,19
E02005945,E02005947,415
E02005945,E02005948,79
E02005945,E02005949,131
E02005945,E02005950,43
E02005945,E02005952,62
E02005945,E02005953,5
E02005945,E02005954,56
E02005945,E02005955,27
E02005945,E02005956,5
E02005945,E02005979,17
E02005946,E02005940,3
E02005946,E02005941,22
E02005946,E02005942,16
E02005946,E02005944,4
E02005946,E02005945,235
E02005946,E02005946,16
E02005946,E02005947,263
E02005946,E02005948,56
E02005946,E02005949,144
E02005946,E02005950,42
E02005946,E02005951,3
E02005946,E02005952,135
E02005946,E02005953,6
E02005946,E02005954,52
E02005946,E02005955,32
E02005946,E02005956,16
E02005946,E02005979,6
E02005947,E02005941,19
E02005947,E02005942,29
E02005947,E02005945,65
E02005947,E02005946,6
E02005947,E02005947,353
E02005947,E02005948,30
E02005947,E02005949,43
E02005947,E02005950,26
E02005947,E02005952,24
E02005947,E02005953,8
E02005947,E02005954,28
E02005947,E02005955,18
E02005947,E02005979,16
E02005948,E02005940,8
E02005948,E02005941,30
E02005948,E02005942,28
E02005948,E02005945,66
